TrisCalDate,TTris,mVTris,HOBO_Orion
6/14/2023,21.332,-82.5,Orion
6/14/2023,21.917,-82.1,Orion
6/14/2023,22.098,-82,Orion
6/14/2023,23.269,-81.3,Orion
6/14/2023,24.162,-80.2,Orion
6/14/2023,25.22,-79.9,Orion
6/14/2023,26.155,-79.2,Orion
6/14/2023,26.99,-78.3,Orion
6/14/2023,28.136,-76.9,Orion
6/14/2023,29.098,-75.2,Orion
6/14/2023,30.145,-73.9,Orion
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
