Season,Site,Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],% Counts (A),% Counts (B),% Counts (C),% Counts (D),High Voltage,HV Duty Cycle,Air Temperature [Celsius],Relative Humidity [%],Leakage Current,Battery Voltage,Pump Current [mA],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Radon 2-Sigma Uncert. [Dpm/L],Calculated Thoron [Dpm/L],Calculated Thoron 2-Sigma Uncert. [Dpm/L],Radon In Water [Dpm/L],Thoron In Water [Dpm/L],Water Temperature [Celsius],Meaningful Thoron Threshold (Air) [Dpm/L],Meaningful Thoron Threshold (Water) [Dpm/L],Total Counts (A),Total Counts (B),Total Counts (C),Total Counts (D),Total Counts (Other),Avg. CPM (A),Avg. CPM (B),Avg. CPM (C),Avg. CPM (D),Avg. CPM (Other)
Dry,Cabral,42,8/9/2021 8:54,21,8,9,8,54,339,4.5,52.5,1.8,42.8,0,2218,8,25.6,7,2,6.33,50,134,158.8045,25.6569,255,3,23,0.815,Sniff,370,60,17,27,53.9,25,35,8.68,12.6,178,6,145,0,10,39.6,1.36,32.2,0,2.18
Dry,Cabral,43,8/9/2021 8:59,21,8,9,8,59,386,4.5,51.6,0,45.1,0.5,2218,9,25.9,7,2,6.3,50,134,176.6477,27.01842,255,3,24,0.874,Sniff,412,63,0,17,60.1,0,35,9.21,13.4,199,0,174,2,11,44.3,0,38.7,0.429,2.4
Dry,Cabral,44,8/9/2021 9:04,21,8,9,9,4,426,4.5,54,1,41.8,0,2218,9,26.2,7,2,6.27,50,134,205.1969,28.90364,255,3,25,0.774,Sniff,479,68,8,23,69.8,12,35,9.65,14.1,230,4,178,0,14,51.1,0.947,39.6,0,3.03
Dry,Cabral,45,8/9/2021 9:09,21,8,9,9,9,409,4.5,54,0.3,42.8,0.7,2218,9,26.5,7,2,6.27,50,134,196.2753,28.4299,255,3,26,0.793,Sniff,458,67,0,17,66.7,0,35,9.24,13.5,221,1,175,3,9,49.1,0.273,38.9,0.636,2
Dry,Cabral,46,8/9/2021 9:14,21,8,9,9,14,406,4.5,51.7,0,44.1,0.5,2218,9,26.8,7,2,6.3,50,134,186.4615,27.76442,255,3,27,0.853,Sniff,436,65,0,17,63.6,0,35,9.34,13.6,210,0,179,2,15,46.6,0,39.8,0.451,3.34
Dry,Cabral,47,8/9/2021 9:19,21,8,9,9,19,393,4.5,48.6,1,47.8,0,2218,9,27.1,7,2,6.3,50,134,170.4026,26.50859,255,3,28,0.984,Sniff,400,62,6,23,58.2,9,35,9.95,14.5,191,4,188,0,10,42.4,0.873,41.7,0,2.27
Dry,Cabral,48,8/9/2021 9:24,21,8,9,9,24,407,4.5,49.9,0.7,45.5,0.3,2218,9,27.5,7,2,6.3,50,134,180.2164,27.26951,255,3,29,0.912,Sniff,424,64,0,20,61.8,0,35,9.89,14.4,203,3,185,1,15,45.1,0.633,41.2,0.271,3.26
Dry,Cabral,49,8/9/2021 9:29,21,8,9,9,29,402,4.5,42.8,0.5,52.3,0.5,2218,8,27.5,7,2,6.3,50,134,152.5594,25.2534,255,3,30,1.22,Sniff,360,60,0,17,52.2,0,35,10.1,14.7,172,2,210,2,16,38.2,0.447,46.7,0.447,3.48
Dry,Cabral,50,8/9/2021 9:34,21,8,9,9,34,352,4.6,42.9,0.9,54.3,0,2218,9,27.8,7,2,6.3,50,134,133.984,23.65364,255,3,31,1.27,Sniff,310,55,3,16,45.2,4,35,9.85,14.3,151,3,191,0,7,32.8,0.689,41.6,0,1.45
Dry,Cabral,51,8/9/2021 9:39,21,8,9,9,39,335,4.6,40.6,0.3,56.4,0,2218,9,28.1,7,2,6.3,50,134,120.6744,22.54605,255,3,32,1.39,Sniff,280,52,0,17,40.8,0,35,9.39,13.7,136,1,189,0,9,29.6,0.218,41.1,0,1.97
Dry,Cabral,52,8/9/2021 9:44,21,8,9,9,44,332,4.6,40.4,1.2,56,0,2218,9,28.4,7,2,6.27,50,134,118.8997,22.39388,255,3,33,1.39,Sniff,276,52,6,23,40.2,9,35,9.74,14.2,134,4,186,0,8,29.2,0.866,40.4,0,1.73
Dry,Cabral,53,8/9/2021 9:49,21,8,9,9,49,276,4.6,35.2,1.1,59.4,1.1,2218,9,29,7,2,6.3,50,134,85.18191,19.4319,255,3,34,1.69,Sniff,197,45,0,20,28.7,5,35,9.17,13.4,97,3,164,3,9,21.1,0.66,35.6,0.66,1.92
Dry,Cabral,54,8/9/2021 9:54,21,8,9,9,54,295,4.6,35.9,1.7,60,0,2218,9,29.3,7,2,6.3,50,134,94.05503,20.13147,255,3,35,1.67,Sniff,219,47,11,25,31.9,16,35,9.54,13.9,106,5,177,0,7,23,1.09,38.5,0,1.54
Dry,Cabral,55,8/9/2021 9:59,21,8,9,9,59,289,4.6,30.8,1.7,63.3,0.4,2218,9,29.9,7,2,6.3,50,134,78.97073,18.61017,255,3,36,2.06,Sniff,183,44,10,25,26.7,15,35,9.74,14.2,89,5,183,1,11,19.4,1.07,39.8,0.251,2.39
Dry,Cabral,56,8/9/2021 10:04,21,8,9,10,4,306,4.6,32,1.6,65.4,0,2218,9,29.9,7,2,6.3,50,134,86.95653,19.4319,255,3,37,2.04,Sniff,203,45,9,23,29.6,14,35,10.2,14.8,98,5,200,0,3,21.3,1.06,43.5,0,0.665
Dry,Cabral,57,8/9/2021 10:09,21,8,9,10,9,265,4.6,33.2,0.8,61.9,1.1,2201,9,30.2,7,2,6.3,50,134,77.1961,18.61017,255,3,38,1.86,Sniff,179,44,0,17,26.2,0,35,8.75,12.8,88,2,164,3,8,19.1,0.461,35.7,0.634,1.73
Dry,Cabral,58,8/9/2021 10:14,21,8,9,10,14,279,4.6,30.8,0.4,66.7,0.7,2218,9,30.2,7,2,6.3,50,134,75.42148,18.3272,255,3,39,2.17,Sniff,176,43,0,17,25.7,0,35,9.32,13.6,86,1,186,2,4,18.7,0.243,40.5,0.425,0.849
Dry,Cabral,59,8/9/2021 10:19,21,8,9,10,19,252,4.6,29,1.2,66.3,0,2218,9,30.5,7,2,6.27,50,134,64.77374,17.04051,255,3,40,2.29,Sniff,150,40,0,20,22.2,5,35,9.34,13.6,73,3,167,0,9,15.9,0.657,36.3,0,1.92
Dry,Cabral,60,8/9/2021 10:24,21,8,9,10,24,287,4.6,28.6,0.7,69.4,0,2218,9,30.8,7,2,6.27,50,134,72.75954,17.94221,255,3,41,2.43,Sniff,171,42,0,17,25,0,35,9.64,14,82,2,199,0,4,17.8,0.437,43.3,0,0.811
Dry,Cabral,61,8/9/2021 10:29,21,8,9,10,29,238,4.6,35.3,2.1,60.1,0.9,2218,9,30.8,7,2,6.3,50,134,73.64685,18.13584,255,3,42,1.7,Sniff,173,43,13,25,25.2,19,35,8.66,12.6,84,5,143,2,4,18.3,1.09,31.1,0.466,0.828
Dry,Cabral,62,8/9/2021 10:34,21,8,9,10,34,227,4.6,30.8,0.9,66.5,0,2236,9,30.8,7,2,6.3,50,134,62.11181,16.72786,255,3,43,2.16,Sniff,146,39,0,17,21.3,0,35,8.9,13,70,2,151,0,4,15.2,0.444,32.8,0,0.888
Dry,Cabral,63,8/9/2021 10:39,21,8,9,10,39,230,4.6,40.4,1.3,54.8,1.8,2218,9,30.8,7,2,6.3,50,134,80.74534,19.07151,255,3,44,1.36,Sniff,189,45,10,20,27.5,10,35,8.13,11.8,93,3,126,4,4,20.2,0.65,27.4,0.9,0.85
Dry,Cabral,64,8/9/2021 10:44,21,8,9,10,44,228,4.6,33.3,1.8,61.4,0,2218,9,30.8,7,2,6.3,50,134,67.43568,17.34688,255,3,45,1.84,Sniff,158,41,9,23,23.1,14,35,8.57,12.5,76,4,140,0,8,16.5,0.892,30.4,0,1.73
Dry,Cabral,65,8/9/2021 10:49,21,8,9,10,49,233,4.6,32.6,0.9,64,0,2218,9,30.5,7,2,6.27,50,134,67.43568,17.34688,255,3,46,1.96,Sniff,158,41,1,17,23.1,1,35,8.83,12.9,76,2,149,0,6,16.5,0.456,32.4,0,1.27
Dry,Cabral,66,8/9/2021 10:54,21,8,9,10,54,235,4.6,38.3,1.3,56.6,0.9,2218,9,30.2,7,2,6.3,50,134,78.97073,18.70344,255,3,47,1.48,Sniff,185,44,10,20,26.9,8,35,8.32,12.1,90,3,133,2,7,19.6,0.664,28.9,0.46,1.48
Dry,Cabral,67,8/9/2021 10:59,21,8,9,10,59,193,4.6,32.7,0,63.7,1.6,2218,8,30.2,7,2,6.3,50,134,54.71594,15.99516,255,3,48,1.95,Sniff,128,38,0,17,18.6,0,35,7.58,11,63,0,123,3,4,13.7,0,26.7,0.671,0.839
Dry,Cabral,68,8/9/2021 11:04,21,8,9,11,4,228,4.6,40.4,1.3,55.3,0,2218,9,30.2,7,2,6.27,50,134,81.63267,18.88847,255,3,49,1.37,Sniff,191,44,10,20,27.9,8,35,8.1,11.8,92,3,126,0,7,20,0.644,27.4,0,1.49
Dry,Cabral,69,8/9/2021 11:09,21,8,9,11,9,217,4.6,35.5,1.4,59,0.9,2218,9,29.9,7,2,6.3,50,134,67.07115,17.35335,255,3,50,1.66,Sniff,157,41,10,20,22.9,8,35,8.15,11.9,77,3,128,2,7,16.7,0.66,27.8,0.425,1.51
Dry,Cabral,70,8/9/2021 11:14,21,8,9,11,14,219,4.6,35.2,0.5,60.3,0.9,2218,9,29.9,7,2,6.27,50,134,67.07115,17.35335,255,3,51,1.71,Sniff,158,41,0,17,23,0,35,7.85,11.4,77,1,132,2,7,16.8,0.238,28.7,0.428,1.48
Dry,Cabral,71,8/9/2021 11:19,21,8,9,11,19,193,4.6,34.2,1.6,62.2,0,2218,9,30.2,6,2,6.3,50,134,58.246,16.21243,255,3,52,1.82,Sniff,137,38,10,20,19.9,9,35,7.87,11.5,66,3,120,0,4,14.3,0.671,26.1,0,0.839
Dry,Cabral,72,8/9/2021 11:24,21,8,9,11,24,200,4.6,39.5,0.5,57.5,0,2218,9,30.2,7,2,6.27,50,134,69.7187,17.55194,255,3,53,1.46,Sniff,163,41,0,17,23.8,0,35,7.33,10.7,79,1,115,0,5,17.2,0.217,25,0,1.09
Dry,Cabral,73,8/9/2021 11:29,21,8,9,11,29,181,4.6,31.5,1.7,63.5,0.6,2236,9,31.1,7,2,6.3,50,134,50.30336,15.2071,255,3,54,2.02,Sniff,117,36,10,20,17.1,9,35,7.75,11.3,57,3,115,1,5,12.4,0.669,25,0.236,1.06
Dry,Cabral,74,8/9/2021 11:34,21,8,9,11,34,166,4.6,33.1,1.8,62.7,0,2218,9,32.9,7,2,6.27,50,134,48.53833,14.97331,255,3,55,1.89,Sniff,116,36,7,23,16.9,10,35,7.49,10.9,55,3,104,0,4,11.9,0.65,22.6,0,0.866
Dry,Cabral,75,8/9/2021 11:39,21,8,9,11,39,158,4.6,38,1.9,57.6,0,2201,8,34.2,7,2,6.3,50,134,52.95092,15.55036,255,3,56,1.52,Sniff,128,38,8,23,18.7,11,35,7.07,10.3,60,3,91,0,4,13.1,0.653,19.8,0,0.859
Dry,Cabral,76,8/9/2021 11:44,21,8,9,11,44,151,4.6,35.8,0.7,60.3,0.7,2218,8,34.2,7,2,6.3,50,134,46.7733,14.85485,255,3,57,1.68,Sniff,114,36,0,17,16.6,0,35,6.52,9.5,54,1,91,1,4,11.8,0.23,19.8,0.23,0.821
Dry,Cabral,77,8/9/2021 11:49,21,8,9,11,49,149,4.6,34.9,0.7,61.8,0.7,2218,9,33.9,7,2,6.3,50,134,45.89079,14.61464,255,3,58,1.77,Sniff,110,35,0,17,16,0,35,6.55,9.55,52,1,92,1,3,11.3,0.227,20,0.227,0.615
Dry,Cabral,78,8/9/2021 11:54,21,8,9,11,54,161,4.6,31.1,1.3,65.9,0,2218,9,33.5,7,2,6.27,50,134,44.12576,14.36987,255,3,59,2.12,Sniff,106,35,3,21,15.5,0,35,7.59,11.1,50,2,106,0,3,10.9,0.455,23.1,0,0.595
Dry,Cabral,79,8/9/2021 11:59,21,8,9,11,59,149,4.6,32.9,0.7,61.8,0.7,2236,9,33.2,7,2,6.3,50,134,42.36072,14.24568,255,3,60,1.88,Sniff,103,34,0,17,15,0,35,6.55,9.55,49,1,92,1,6,10.7,0.227,20,0.227,1.26
Dry,Cabral,80,8/9/2021 12:05,21,8,9,12,5,145,4.6,26.9,1.4,66.9,0,2218,8,32.9,6,2,6.27,50,134,34.41809,12.92806,255,3,61,2.49,Sniff,82,31,0,20,12,0,35,7.2,10.5,39,2,97,0,7,8.48,0.441,21.1,0,1.51
Dry,Cabral,81,8/9/2021 12:10,21,8,9,12,10,147,4.6,40.1,0.7,56.5,0,2218,9,32.6,6,2,6.27,50,134,52.06839,15.4369,255,3,62,1.41,Sniff,123,36,0,17,17.9,0,35,6.22,9.07,59,1,83,0,4,12.8,0.224,18.1,0,0.863
Dry,Cabral,82,8/9/2021 12:15,21,8,9,12,15,166,4.6,44,0,52.4,0,2218,9,32.3,6,2,6.3,50,134,64.42361,16.9484,255,3,63,1.19,Sniff,150,40,0,17,22,0,35,6.37,9.29,73,0,87,0,6,15.9,0,18.9,0,1.3
Dry,Cabral,83,8/9/2021 12:20,21,8,9,12,20,151,4.6,42.4,0.7,53.7,0,2218,8,32,7,2,6.27,50,134,56.48097,15.99516,255,3,64,1.27,Sniff,133,38,0,17,19.4,0,35,6.15,8.96,64,1,81,0,5,13.9,0.23,17.6,0,1.05
Dry,Cabral,84,8/9/2021 12:25,21,8,9,12,25,148,4.6,43.3,0.7,53.4,0.7,2218,8,31.7,6,2,6.27,50,134,56.48097,15.99516,255,3,65,1.23,Sniff,132,38,0,17,19.3,0,35,6.07,8.85,64,1,79,1,3,13.9,0.225,17.2,0.225,0.611
Dry,Cabral,85,8/9/2021 12:30,21,8,9,12,30,158,4.6,50.6,1.3,47.5,0,2201,9,31.7,7,2,6.3,50,134,70.60122,17.65031,255,3,66,0.939,Sniff,166,42,0,20,24.2,6,35,6.26,9.12,80,2,75,0,1,17.4,0.447,16.3,0,0.206
Dry,Cabral,86,8/9/2021 12:35,21,8,9,12,35,139,4.6,48.2,1.5,43.2,0.7,2218,9,31.7,6,2,6.27,50,134,59.12852,16.31984,255,3,67,0.896,Sniff,138,39,10,20,20.1,8,35,5.6,8.15,67,2,60,1,9,14.6,0.453,13.1,0.212,1.93
Dry,Cabral,87,8/9/2021 12:40,21,8,9,12,40,162,4.6,40.1,0.6,54.3,0,2218,9,32,6,2,6.27,50,134,57.36348,16.1042,255,3,68,1.35,Sniff,135,38,0,17,19.7,0,35,6.41,9.34,65,1,88,0,8,14.1,0.211,19.1,0,1.76
Dry,Cabral,88,8/9/2021 12:45,21,8,9,12,45,157,4.6,49.7,0,47.1,0.6,2218,9,32,6,2,6.3,50,134,68.83618,17.45296,255,3,69,0.948,Sniff,160,41,0,17,23.3,0,35,5.88,8.57,78,0,74,1,4,17,0,16.1,0.205,0.887
Dry,Cabral,89,8/9/2021 12:50,21,8,9,12,50,166,4.6,48.8,0,47.6,0.6,2218,9,32,7,2,6.27,50,134,71.48372,17.74806,255,3,70,0.975,Sniff,167,42,0,17,24.3,0,35,6.07,8.85,81,0,79,1,5,17.6,0,17.2,0.217,1.08
Dry,Cabral,90,8/9/2021 12:55,21,8,9,12,55,141,4.6,44.7,0.7,51.8,0.7,2218,9,32,6,2,6.27,50,134,54.71594,15.88527,255,3,71,1.16,Sniff,130,38,0,17,19,0,35,6.18,9.01,63,1,73,1,3,13.7,0.215,15.9,0.215,0.644
Dry,Cabral,91,8/9/2021 13:00,21,8,9,13,0,145,4.6,47.6,0,45.5,1.4,2218,9,32,6,2,6.27,50,134,60.01103,16.53233,255,3,72,0.956,Sniff,141,39,0,17,20.5,0,35,5.55,8.09,69,0,66,2,8,15,0,14.3,0.441,1.73
Dry,Cabral,92,8/9/2021 13:05,21,8,9,13,5,155,4.6,45.8,1.9,49.7,0.7,2218,9,31.7,6,2,6.3,50,134,61.77606,16.74181,255,3,73,1.09,Sniff,145,39,8,23,21.1,12,35,6.28,9.16,71,3,77,1,3,15.4,0.64,16.7,0.236,0.64
Dry,Cabral,93,8/9/2021 13:10,21,8,9,13,10,141,4.6,45.4,0.7,52.5,0,2218,9,31.4,6,2,6.3,50,134,56.48097,15.99516,255,3,74,1.16,Sniff,132,37,0,17,19.2,0,35,6.15,8.96,64,1,74,0,2,13.9,0.215,16.1,0,0.429
Dry,Cabral,94,8/9/2021 13:15,21,8,9,13,15,141,4.6,45.4,0.7,52.5,0,2218,9,31.4,6,2,6.3,50,134,56.48097,15.99516,255,3,75,1.16,Sniff,132,37,0,17,19.2,0,35,6.15,8.96,64,1,74,0,2,13.9,0.215,16.1,0,0.429
Dry,Cabral,95,8/9/2021 13:20,21,8,9,13,20,135,4.6,43.7,2.2,50.4,0.8,2218,9,32,7,2,6.27,50,134,51.18588,15.4369,255,3,76,1.15,Sniff,121,36,9,23,17.6,13,35,5.94,8.66,59,3,68,1,4,12.8,0.646,14.8,0.235,0.851
Dry,Cabral,96,8/9/2021 13:25,21,8,9,13,25,133,4.6,44.4,0,54.1,0,2218,8,32.6,7,2,6.27,50,134,52.06839,15.4369,255,3,77,1.22,Sniff,124,37,0,17,18.1,0,35,5.8,8.45,59,0,72,0,2,12.8,0,15.6,0,0.434
Dry,Cabral,97,8/9/2021 13:30,21,8,9,13,30,157,4.6,43.3,0,52.9,0.6,2218,9,33.9,7,2,6.27,50,134,60.01103,16.42647,255,3,78,1.22,Sniff,140,40,0,17,20.9,0,35,6.22,9.07,68,0,83,1,5,14.8,0,18.1,0.205,1.09
Dry,Cabral,98,8/9/2021 13:35,21,8,9,13,35,132,4.6,44.7,3.8,47.7,1.5,2218,9,36.6,7,2,6.27,50,134,51.18588,15.4369,255,3,79,1.07,Sniff,125,38,18,28,18.3,27,35,5.97,8.7,59,5,63,2,3,12.8,1.09,13.7,0.43,0.66
Dry,Cabral,99,8/9/2021 13:40,21,8,9,13,40,151,4.6,45.7,1.3,49.7,0,2218,9,37.8,7,2,6.27,50,134,60.89355,16.53233,255,3,80,1.09,Sniff,151,41,4,21,22,6,35,6.57,9.57,69,2,75,0,5,15,0.427,16.3,0,1.08
Dry,Cabral,100,8/9/2021 13:45,21,8,9,13,45,160,4.6,43.8,0.6,53.8,0,2218,9,36.9,7,2,6.3,40,134,61.77606,16.63744,255,3,81,1.23,Sniff,152,41,0,17,22.2,0,35,6.34,9.23,70,1,86,0,3,15.2,0.209,18.7,0,0.626
Dry,Cabral,101,8/9/2021 13:50,21,8,9,13,50,132,4.6,44.7,1.5,50,0.8,2201,9,36,7,2,6.27,50,134,52.06839,15.4369,255,3,82,1.12,Sniff,126,38,5,21,18.4,7,35,6.09,8.87,59,2,66,1,4,12.8,0.43,14.3,0.23,0.861
Dry,Cabral,102,8/9/2021 13:55,21,8,9,13,55,162,4.6,50.6,0,46.9,0,2218,9,35.1,6,2,6.27,40,134,72.36625,17.84522,255,3,83,0.927,Sniff,175,43,0,17,25.5,0,35,5.96,8.68,82,0,76,0,4,17.8,0,16.5,0,0.88
Dry,Cabral,103,8/9/2021 14:00,21,8,9,14,0,144,4.6,41.7,0.7,52.8,0,2218,9,34.2,6,2,6.27,50,134,52.95092,15.55036,255,3,84,1.27,Sniff,126,37,0,17,18.4,0,35,5.96,8.68,60,1,76,0,7,13.1,0.219,16.5,0,1.5
Dry,Cabral,104,8/9/2021 14:05,21,8,9,14,5,120,4.6,35,0.8,57.5,0,2218,9,33.5,6,2,6.27,40,134,37.06564,13.33911,255,3,85,1.64,Sniff,88,32,0,17,12.8,0,35,6.01,8.76,42,1,69,0,8,9.13,0.209,15,0,1.75
Dry,Cabral,105,8/9/2021 14:10,21,8,9,14,10,137,4.6,35.8,3.7,56.9,1.5,2218,9,32.9,6,2,6.27,50,134,42.36072,14.24568,255,3,86,1.59,Sniff,99,34,17,27,14.5,25,35,6.37,9.28,49,5,78,2,3,10.7,1.1,16.9,0.447,0.625
Dry,Cabral,106,8/9/2021 14:15,21,8,9,14,15,127,4.6,34.7,3.2,57.5,0.8,2218,9,32.6,6,2,6.27,50,134,38.83066,13.60521,255,3,87,1.66,Sniff,90,32,13,25,13.1,19,35,6.15,8.96,44,4,73,1,5,9.58,0.883,15.9,0.221,1.05
