DateTime,Northing,Easting,Alongshore,Cross_shore,Pressure,Temperature,Heading,Pitch,Roll,Direction,Speed,Site,Season
3/25/2022 15:36,0.045766917,-0.09074031,0.100311572,-0.016309602,1.194,30.95,108.1,0.4,-0.1,-63.23487887,0.101628808,Varari,Wet
3/25/2022 15:38,0.122921607,-0.075962819,0.13370672,0.054795844,1.22,30.78,108,0.4,-0.1,-31.7151432,0.144499382,Varari,Wet
3/25/2022 15:40,0.074908035,-0.135880185,0.153959217,-0.019266496,1.216,30.64,108,0.4,-0.1,-61.13292869,0.155160041,Varari,Wet
3/25/2022 15:42,0.089289498,-0.101201521,0.134356801,0.01275196,1.207,30.58,108.1,0.4,-0.1,-48.57823226,0.134960596,Varari,Wet
3/25/2022 15:44,0.070792534,-0.099700969,0.122270586,-0.001330396,1.203,30.54,108.2,0.4,-0.1,-54.62339652,0.122277824,Varari,Wet
3/25/2022 15:46,0.09443586,-0.160362284,0.185243819,-0.01785837,1.225,30.47,108,0.4,-0.2,-59.50656391,0.186102643,Varari,Wet
3/25/2022 15:48,0.011684723,-0.092908655,0.082032789,-0.045157198,1.194,30.44,108,0.4,-0.2,-82.83179069,0.093640541,Varari,Wet
3/25/2022 15:50,0.108053014,-0.13747389,0.174730681,0.0066116,1.217,30.41,108.3,0.4,-0.2,-51.83303004,0.174855724,Varari,Wet
3/25/2022 15:52,0.085432054,-0.144964243,0.167494237,-0.016091861,1.198,30.37,108.1,0.4,-0.3,-59.48779828,0.168265468,Varari,Wet
3/25/2022 15:54,0.047465829,-0.088087316,0.09916385,-0.013375763,1.187,30.35,108.2,0.4,-0.3,-61.68200334,0.100061882,Varari,Wet
3/25/2022 15:56,0.077911275,-0.135174678,0.15515371,-0.016422137,1.205,30.31,108.2,0.4,-0.3,-60.04193659,0.156020385,Varari,Wet
3/25/2022 15:58,0.135223223,-0.140596569,0.19322723,0.026757296,1.211,30.29,108.1,0.4,-0.3,-46.11605871,0.195071052,Varari,Wet
3/25/2022 16:00,0.043771415,-0.141051538,0.139841284,-0.047496196,1.217,30.26,108.1,0.4,-0.4,-72.75972652,0.147687079,Varari,Wet
3/25/2022 16:02,0.073899502,-0.132460256,0.150599635,-0.018072232,1.199,30.24,108.1,0.4,-0.4,-60.84287694,0.15168011,Varari,Wet
3/25/2022 16:04,0.122493149,-0.116376259,0.166150038,0.03069479,1.194,30.23,108.1,0.4,-0.4,-43.53310899,0.16896155,Varari,Wet
3/25/2022 16:06,0.088089625,-0.167770409,0.187506895,-0.027346968,1.288,30.2,108,0.4,-0.4,-62.297807,0.189490612,Varari,Wet
3/25/2022 16:08,0.055821877,-0.09828293,0.112323836,-0.01260841,1.207,30.18,108,0.4,-0.4,-60.40467119,0.113029271,Varari,Wet
3/25/2022 16:10,0.069121779,-0.097816743,0.119764169,-0.001574545,1.202,30.17,108,0.4,-0.4,-54.75322692,0.119774519,Varari,Wet
3/25/2022 16:12,0.114652979,-0.140103842,0.180737719,0.010405236,1.243,30.16,108,0.4,-0.4,-50.70506647,0.181036991,Varari,Wet
3/25/2022 16:14,0.032097622,-0.105061543,0.103863083,-0.035786105,1.176,30.14,108.1,0.4,-0.4,-73.01142962,0.109855292,Varari,Wet
