DateTime,Northing,Easting,Alongshore,Cross_shore,Pressure,Temperature,Heading,Pitch,Roll,Direction,Speed,Site,Season
8/21/2021 10:06,0.074986813,-0.063241082,0.095239253,0.023493431,1.304,26.65,52.9,-1.1,0.7,-40.14303502,0.098094121,Varari,Dry
8/21/2021 10:16,0.092896424,-0.154448933,0.17955496,-0.015628019,1.337,26.67,53,-1.1,0.7,-58.97434706,0.180233789,Varari,Dry
8/21/2021 10:26,0.112521953,-0.114027605,0.158389015,0.024008428,1.371,26.71,53.1,-1.1,0.6,-45.38078289,0.160198266,Varari,Dry
8/21/2021 10:36,0.122090278,-0.105423905,0.157052596,0.036806493,1.361,26.71,52.9,-1.1,0.6,-40.810326,0.161307891,Varari,Dry
8/21/2021 10:46,0.019361326,-0.119494908,0.108053713,-0.054573703,1.354,26.69,52.9,-1.1,0.6,-80.79655487,0.121053269,Varari,Dry
8/21/2021 10:56,0.087768547,-0.136130838,0.161721218,-0.009009453,1.356,26.7,53,-1.1,0.6,-57.18863904,0.161971981,Varari,Dry
8/21/2021 11:06,0.073545084,-0.085734917,0.112589721,0.009105503,1.361,26.71,53.1,-1.1,0.6,-49.37636361,0.112957317,Varari,Dry
8/21/2021 11:16,0.057122068,-0.112526877,0.124611665,-0.019928915,1.371,26.72,52.9,-1.1,0.6,-63.08626378,0.1261952,Varari,Dry
8/21/2021 11:26,0.07311288,-0.141182049,0.157193349,-0.023835164,1.375,26.73,53,-1.1,0.6,-62.62205809,0.158990138,Varari,Dry
8/21/2021 11:36,0.164930958,-0.143505329,0.213042234,0.049081632,1.418,26.75,53,-1.1,0.6,-41.026313,0.218622963,Varari,Dry
8/21/2021 11:46,0.140272077,-0.15253023,0.205849406,0.023827475,1.403,26.77,53,-1.1,0.6,-47.39728476,0.207223856,Varari,Dry
8/21/2021 11:56,0.066202963,-0.138768915,0.151179536,-0.028006999,1.384,26.84,53,-1.1,0.6,-64.4954303,0.153751892,Varari,Dry
