DateTime,Northing,Easting,Alongshore,Cross_shore,Pressure,Temperature,Heading,Pitch,Roll,Direction,Speed,Site,Season
8/11/2021 16:15,0.113891374,-0.219930218,0.244870953,-0.037131682,1.257,27.86,232.9,-0.9,2.1,-62.62251507,0.247670236,Varari,Dry
8/11/2021 16:25,0.096672607,-0.215023922,0.23078074,-0.048178108,1.257,27.66,232.9,-0.9,2.2,-65.79179252,0.235755975,Varari,Dry
8/11/2021 16:35,0.080231553,-0.180223505,0.192962802,-0.041024029,1.249,27.57,233,-0.8,2.2,-66.00242013,0.197275477,Varari,Dry
8/11/2021 16:45,0.054236176,-0.162609016,0.163432682,-0.051701194,1.24,27.52,233,-0.8,2.2,-71.55453288,0.171415445,Varari,Dry
8/11/2021 16:55,0.075676567,-0.165836506,0.178646122,-0.036252623,1.223,27.49,233,-0.8,2.2,-65.47125046,0.182287381,Varari,Dry
8/11/2021 17:05,0.135639464,-0.224124361,0.261047293,-0.022002362,1.241,27.47,232.8,-0.7,2.2,-58.81778593,0.261972887,Varari,Dry
8/11/2021 17:15,0.101479218,-0.178566624,0.204111422,-0.022860416,1.226,27.44,232.8,-0.7,2.2,-60.39047778,0.205387612,Varari,Dry
8/11/2021 17:25,0.114445579,-0.167377224,0.202680442,-0.005793446,1.217,27.42,232.9,-0.7,2.2,-55.63730461,0.202763226,Varari,Dry
8/11/2021 17:35,0.079910569,-0.192047445,0.2023399,-0.048233648,1.213,27.39,232.8,-0.7,2.2,-67.40790023,0.208009423,Varari,Dry
8/11/2021 17:45,0.096462793,-0.17752364,0.200319049,-0.026305739,1.2,27.37,232.7,-0.7,2.2,-61.48122847,0.20203889,Varari,Dry
8/11/2021 17:55,0.135819849,-0.165756332,0.213932594,0.012451438,1.219,27.35,232.7,-0.7,2.2,-50.66899326,0.214294641,Varari,Dry
8/11/2021 18:05,0.054018785,-0.142314486,0.146886283,-0.039948241,1.188,27.33,232.8,-0.6,2.2,-69.2145732,0.152221688,Varari,Dry
8/11/2021 18:15,0.117962195,-0.154017235,0.193938999,0.004904361,1.205,27.31,232.8,-0.6,2.2,-52.55140373,0.194001001,Varari,Dry
8/11/2021 18:25,0.04177145,-0.145435176,0.142212171,-0.051690839,1.175,27.29,232.8,-0.6,2.2,-73.97503647,0.15131505,Varari,Dry
8/11/2021 18:35,0.131789873,-0.160474939,0.207291097,0.012295444,1.174,27.28,232.8,-0.6,2.2,-50.60548563,0.207655428,Varari,Dry
8/11/2021 18:45,0.102959896,-0.23105287,0.247444007,-0.052513164,1.159,27.27,232.8,-0.6,2.2,-65.98168099,0.252954875,Varari,Dry
