date,TempInSitu,AbsPressure,Depth,LoggerID
3/22/2022 15:30,29.853,108.377,0.678,Pressure_872_VSled_20220322
3/22/2022 15:32,29.853,108.49,0.689,Pressure_872_VSled_20220322
3/22/2022 15:34,29.853,108.766,0.716,Pressure_872_VSled_20220322
3/22/2022 15:36,29.652,108.728,0.713,Pressure_872_VSled_20220322
3/22/2022 15:38,29.652,109.165,0.756,Pressure_872_VSled_20220322
3/22/2022 15:40,29.752,108.358,0.676,Pressure_872_VSled_20220322
3/22/2022 15:42,29.652,108.744,0.714,Pressure_872_VSled_20220322
3/22/2022 15:44,29.552,108.595,0.699,Pressure_872_VSled_20220322
3/22/2022 15:46,29.652,108.631,0.703,Pressure_872_VSled_20220322
3/22/2022 15:48,29.552,108.466,0.686,Pressure_872_VSled_20220322
3/22/2022 15:50,29.452,108.058,0.646,Pressure_872_VSled_20220322
3/22/2022 15:52,29.452,108.317,0.672,Pressure_872_VSled_20220322
3/22/2022 15:54,29.452,108.188,0.659,Pressure_872_VSled_20220322
3/22/2022 15:56,29.352,108.315,0.671,Pressure_872_VSled_20220322
3/22/2022 15:58,29.352,108.234,0.663,Pressure_872_VSled_20220322
3/22/2022 16:00,29.252,108.296,0.67,Pressure_872_VSled_20220322
3/22/2022 16:02,29.152,108.26,0.666,Pressure_872_VSled_20220322
3/22/2022 16:04,29.252,108.684,0.708,Pressure_872_VSled_20220322
3/22/2022 16:06,29.152,108.39,0.679,Pressure_872_VSled_20220322
3/22/2022 16:08,29.152,107.888,0.629,Pressure_872_VSled_20220322
3/22/2022 16:10,29.053,108.355,0.675,Pressure_872_VSled_20220322
3/22/2022 16:12,29.053,108.76,0.716,Pressure_872_VSled_20220322
3/22/2022 16:14,28.953,107.899,0.63,Pressure_872_VSled_20220322
3/22/2022 16:16,28.853,107.945,0.635,Pressure_872_VSled_20220322
3/22/2022 16:18,28.853,108.982,0.738,Pressure_872_VSled_20220322
3/22/2022 16:20,29.053,108.501,0.69,Pressure_872_VSled_20220322
3/22/2022 16:22,28.853,108.56,0.696,Pressure_872_VSled_20220322
3/22/2022 16:24,28.853,108.074,0.647,Pressure_872_VSled_20220322
3/22/2022 16:26,28.853,108.252,0.665,Pressure_872_VSled_20220322
3/22/2022 16:28,28.853,108.236,0.664,Pressure_872_VSled_20220322
3/22/2022 16:30,28.754,107.991,0.639,Pressure_872_VSled_20220322
3/22/2022 16:32,28.754,108.234,0.663,Pressure_872_VSled_20220322
3/22/2022 16:34,28.655,108.312,0.671,Pressure_872_VSled_20220322
3/22/2022 16:36,28.655,108.296,0.67,Pressure_872_VSled_20220322
3/22/2022 16:38,28.555,107.694,0.61,Pressure_872_VSled_20220322
3/22/2022 16:40,28.655,108.069,0.647,Pressure_872_VSled_20220322
3/22/2022 16:42,28.655,107.826,0.623,Pressure_872_VSled_20220322
3/22/2022 16:44,28.655,108.312,0.671,Pressure_872_VSled_20220322
3/22/2022 16:46,28.754,107.634,0.604,Pressure_872_VSled_20220322
3/22/2022 16:48,28.655,108.182,0.658,Pressure_872_VSled_20220322
3/22/2022 16:50,28.655,107.858,0.626,Pressure_872_VSled_20220322
3/22/2022 16:52,28.655,107.939,0.634,Pressure_872_VSled_20220322
3/22/2022 16:54,28.555,107.532,0.594,Pressure_872_VSled_20220322
3/22/2022 16:56,28.655,107.858,0.626,Pressure_872_VSled_20220322
3/22/2022 16:58,28.655,107.551,0.595,Pressure_872_VSled_20220322
3/22/2022 17:00,28.555,107.92,0.632,Pressure_872_VSled_20220322
3/22/2022 17:02,28.655,108.279,0.668,Pressure_872_VSled_20220322
3/22/2022 17:04,28.655,107.356,0.576,Pressure_872_VSled_20220322
3/22/2022 17:06,28.655,108.101,0.65,Pressure_872_VSled_20220322
3/22/2022 17:08,28.655,107.065,0.547,Pressure_872_VSled_20220322
3/22/2022 17:10,28.555,107.354,0.576,Pressure_872_VSled_20220322
3/22/2022 17:12,28.555,107.289,0.569,Pressure_872_VSled_20220322
3/22/2022 17:14,28.555,107.661,0.606,Pressure_872_VSled_20220322
3/22/2022 17:16,28.655,107.292,0.57,Pressure_872_VSled_20220322
