date,TempInSitu,AbsPressure,Depth,LoggerID
4/4/2022 13:40,30.356,108.536,0.696,Pressure_872_VSled_20220404
4/4/2022 13:42,30.356,108.925,0.735,Pressure_872_VSled_20220404
4/4/2022 13:44,30.356,108.877,0.73,Pressure_872_VSled_20220404
4/4/2022 13:46,30.356,108.698,0.712,Pressure_872_VSled_20220404
4/4/2022 13:48,30.356,109.006,0.743,Pressure_872_VSled_20220404
4/4/2022 13:50,30.356,108.504,0.693,Pressure_872_VSled_20220404
4/4/2022 13:52,30.255,108.469,0.689,Pressure_872_VSled_20220404
4/4/2022 13:54,30.255,108.987,0.741,Pressure_872_VSled_20220404
4/4/2022 13:56,30.255,108.533,0.696,Pressure_872_VSled_20220404
4/4/2022 13:58,30.255,108.663,0.709,Pressure_872_VSled_20220404
4/4/2022 14:00,30.255,108.712,0.714,Pressure_872_VSled_20220404
4/4/2022 14:02,30.255,108.517,0.694,Pressure_872_VSled_20220404
4/4/2022 14:04,30.255,109.263,0.768,Pressure_872_VSled_20220404
4/4/2022 14:06,30.356,108.488,0.691,Pressure_872_VSled_20220404
4/4/2022 14:08,30.356,108.763,0.719,Pressure_872_VSled_20220404
4/4/2022 14:10,30.356,108.585,0.701,Pressure_872_VSled_20220404
4/4/2022 14:12,30.356,108.326,0.675,Pressure_872_VSled_20220404
4/4/2022 14:14,30.356,108.925,0.735,Pressure_872_VSled_20220404
4/4/2022 14:16,30.356,108.747,0.717,Pressure_872_VSled_20220404
4/4/2022 14:18,30.356,108.536,0.696,Pressure_872_VSled_20220404
4/4/2022 14:20,30.356,108.471,0.69,Pressure_872_VSled_20220404
4/4/2022 14:22,30.356,108.245,0.667,Pressure_872_VSled_20220404
4/4/2022 14:24,30.356,108.326,0.675,Pressure_872_VSled_20220404
4/4/2022 14:26,30.356,108.633,0.706,Pressure_872_VSled_20220404
4/4/2022 14:28,30.356,108.552,0.698,Pressure_872_VSled_20220404
4/4/2022 14:30,30.356,108.666,0.709,Pressure_872_VSled_20220404
4/4/2022 14:32,30.255,108.647,0.707,Pressure_872_VSled_20220404
4/4/2022 14:34,30.356,108.617,0.704,Pressure_872_VSled_20220404
4/4/2022 14:36,30.356,108.342,0.677,Pressure_872_VSled_20220404
4/4/2022 14:38,30.356,108.601,0.702,Pressure_872_VSled_20220404
4/4/2022 14:40,30.356,108.342,0.677,Pressure_872_VSled_20220404
4/4/2022 14:42,30.356,108.812,0.723,Pressure_872_VSled_20220404
