DateTime,CurrentSpeed_m_s,Direction,CurrentSpeed_m_s_av,Direction_av
2021-08-05T00:00:00Z,0.154858535,-58.13883766,0.142178118,-60.63709175
2021-08-05T11:57:00Z,0.124292423,-77.48984652,0.137418581,-61.78477239
2021-08-06T06:40:00Z,0.284697117,-59.70898364,0.241144689,-63.4545817
2021-08-08T07:30:00Z,0.27760365,NA,0.083212527,-62.93059676
2021-08-08T18:30:00Z,0.261275331,-63.90199462,0.261275331,-63.90199462
2021-08-08T19:00:00Z,0.012774893,101.1893785,0.005453624,108.4409614
2021-08-08T22:00:00Z,0.01151095,91.07663934,0.015249823,104.1698495
2021-08-09T01:00:00Z,0.033447918,111.3639209,0.000568898,101.7962197
2021-08-09T01:10:00Z,0.048644835,97.65222306,0.026739793,95.5297509
2021-08-09T04:00:00Z,0.022952332,269.6874381,0.002404576,-86.88476453
2021-08-09T07:00:00Z,0.013227834,-78.79120784,0.015934546,95.79229035
2021-08-09T10:00:00Z,0.006034184,-8.530793087,0.017711384,90.43144952
2021-08-09T13:00:00Z,0.027407973,92.09879062,0.023106168,110.8089655
2021-08-09T16:10:00Z,0.028806691,94.86030477,0.017372035,96.11856176
2021-08-09T19:00:00Z,0.014186446,100.2209182,0.024007323,94.12439634
2021-08-09T22:20:00Z,0.00661879,126.2248329,0.000375972,-77.68885696
2021-08-10T01:20:00Z,0.00804687,61.48437574,0.003725904,131.6973206
2021-08-10T04:20:00Z,0.037595847,-83.65299899,0.013827182,-87.36728055
2021-08-10T07:00:00Z,0.012018477,-73.72021943,0.00540548,105.7684099
2022-03-21T05:00:00Z,0.168181902,-46.60266917,0.190234039,-55.05756031
2022-03-21T08:00:00Z,0.089916965,-62.21279684,0.172387884,-51.43728155
2022-03-21T11:00:00Z,0.158030016,-81.45049385,0.17429306,-53.83482491
2022-03-21T14:00:00Z,0.180819211,-56.81678262,0.213573251,-51.0130708
2022-03-21T17:00:00Z,0.134273847,-68.97518821,0.170863977,-53.70832267
2022-03-21T20:00:00Z,0.147146395,-39.68024352,0.139273869,-52.14592171
2022-03-21T21:45:00Z,0.129213592,-53.37362123,0.147471853,-52.24520933
2022-03-21T23:00:00Z,0.210489357,-50.26332163,0.169616766,-55.48377006
2022-03-22T02:00:00Z,0.199156304,-59.07144135,0.205130053,-57.25450273
2022-03-28T17:00:00Z,NA,NA,,
2022-03-28T18:00:00Z,NA,NA,,
2022-03-28T19:00:00Z,NA,NA,,
2022-03-29T07:00:00Z,NA,NA,,
2022-03-29T08:00:00Z,NA,NA,,
2022-03-29T09:00:00Z,NA,NA,,
2022-03-29T11:00:00Z,NA,NA,,
2022-03-30T4:00:00Z,0.024504871,39.42064961,0.007684528,4.84992282
2022-03-30T7:00:00Z,0.010633227,243.0265693,0.002330663,70.3081294
2022-03-30T10:00:00Z,0.018586519,257.2217509,0.00979934,76.81517637
2022-03-30T13:00:00Z,0.014085646,62.02835669,0.003290541,264.8062283
2022-03-30T16:00:00Z,0.013089503,83.17115151,0.000770198,148.9289699
2022-03-30T19:00:00Z,0.022166115,260.0597556,0.002012083,162.4817546
2022-03-30T22:00:00Z,0.017822521,72.62285341,0.004942937,33.59972066
2022-03-31T01:00:00Z,0.039943887,64.45900021,0.002546722,173.0610126
