Location,CowTagID,lat,lon,dist_to_seep_m,adj_CT_depth_cm,dist_to_crest
Cabral,C1,-17.517048,-149.912693,76.29322558,78.9,1080
Cabral,C10,-17.51588602,-149.912912,69.63619017,104.7,1080
Cabral,C11,-17.51598098,-149.913194,84.90271523,101.9,1080
Cabral,C12,-17.51595701,-149.913303,96.2135122,82.2,1080
Cabral,C13,-17.51557102,-149.913136,111.9657493,69.8,1080
Cabral,C14,-17.51652597,-149.913031,57.01163101,130.2,1080
Cabral,C15,-17.51721597,-149.913056,108.9760651,110.9,1080
Cabral,C16,-17.51723299,-149.912976,106.4282013,97.4,1080
Cabral,C17,-17.51721203,-149.912771,96.09861801,112,1080
Cabral,C18,-17.51757103,-149.912982,141.1332573,103.7,1080
Cabral,C19,-17.51770397,-149.912893,152.3190849,79.1,1080
Cabral,C2,-17.51706904,-149.912949,89.09540482,87.2,1080
Cabral,C20,-17.51692303,-149.912724,63.9750359,60.3,1080
Cabral,C3,-17.51697499,-149.913111,91.27558811,99.6,1080
Cabral,C4,-17.51679302,-149.912772,53.0800205,90.6,1080
Cabral,C5,-17.51659596,-149.912877,45.09468353,89,1080
Cabral,C6,-17.51653796,-149.913134,67.90986881,130.9,1080
Cabral,C7,-17.51630402,-149.913229,76.31773751,90.1,1080
Cabral,C8,-17.51632397,-149.91291,42.46143981,99.7,1080
Cabral,C9,-17.51639103,-149.913111,63.27483282,72.1,1080
Cabral,CSEEP,-17.516384,-149.912515,0,49.3,1080
Varari,V1,-17.53975298,-149.900506,138.8887466,76.6,700
Varari,V10,-17.54030501,-149.899788,48.50883373,32.9,700
Varari,V11,-17.54019303,-149.900068,79.16286546,50.8,700
Varari,V12,-17.54030996,-149.900112,82.90297375,59.5,700
Varari,V13,-17.540749,-149.899133,-54.016009,72.8,700
Varari,V14,-17.54039696,-149.899396,12.62318456,61.8,700
Varari,V15,-17.54014299,-149.900183,92.15051842,43.5,700
Varari,V16,-17.54029797,-149.900492,123.2336688,75.7,700
Varari,V17,-17.54031901,-149.899572,25.65062044,69.2,700
Varari,V18,-17.54019697,-149.899906,62.14245647,31.5,700
Varari,V19,-17.54050802,-149.89978,52.88953478,82.9,700
Varari,V2,-17.53989003,-149.900519,134.1793292,69.2,700
Varari,V20,-17.54045103,-149.899509,25.1434552,65,700
Varari,V3,-17.54012598,-149.90056,131.9140796,52,700
Varari,V4,-17.54024902,-149.900454,119.3452203,58.7,700
Varari,V5,-17.54025003,-149.900336,106.8312081,70.9,700
Varari,V6,-17.54002498,-149.900106,87.85163569,67.7,700
Varari,V7,-17.54004803,-149.899985,74.95438052,45.9,700
Varari,V8,-17.54014903,-149.899896,62.34195113,37.9,700
Varari,V9,-17.540245,-149.899765,46.50132203,77,700
Varari,VSEEP,-17.540302,-149.899331,0,39.9,700
