DateTime,Northing,Easting,Alongshore,Cross_shore,Pressure,Temperature,Heading,Pitch,Roll,Direction,Speed,Site,Season
3/29/2022 13:36,-0.007559127,0.003717429,-0.008233916,0.001778287,2.556,29.73,139.3,3.4,5.5,153.8129558,0.008423757,Cabral,Wet
3/29/2022 13:38,0.008432062,0.019389579,0.00349083,0.020853526,2.593,29.52,139.1,3.4,5.5,66.49693518,0.021143685,Cabral,Wet
3/29/2022 13:40,0.010001915,0.015282666,0.006007604,0.017248388,2.562,29.34,139.2,3.4,5.5,56.79680111,0.01826467,Cabral,Wet
3/29/2022 13:42,0.01165304,0.0162541,0.007374672,0.01859041,2.562,29.24,139.2,3.3,5.5,54.36215432,0.019999728,Cabral,Wet
3/29/2022 13:44,0.009674084,0.005227104,0.008122171,0.007412209,2.548,29.17,139.1,3.3,5.5,28.38325383,0.010995932,Cabral,Wet
3/29/2022 13:46,0.005369322,0.005414094,0.003900043,0.006552229,2.564,29.12,139.2,3.3,5.5,45.23788437,0.007625092,Cabral,Wet
3/29/2022 13:48,0.004000451,-0.015344984,0.007593908,-0.013921376,2.585,29.1,139.1,3.3,5.5,-75.38817457,0.015857873,Cabral,Wet
3/29/2022 13:50,-6.55E-05,-0.014133055,0.003355537,-0.01372909,2.558,29.06,139.1,3.3,5.5,269.7344474,0.014133207,Cabral,Wet
3/29/2022 13:52,0.006439488,0.025660319,4.04E-05,0.026455951,2.537,29.05,139.2,3.3,5.5,75.91247432,0.026455981,Cabral,Wet
3/29/2022 13:54,0.009812477,0.00227156,0.008971464,0.004577938,2.559,29.04,139.1,3.3,5.5,13.03420848,0.010071975,Cabral,Wet
3/29/2022 13:56,0.007155652,0.017744337,0.002650355,0.018948363,2.559,29.05,139.1,3.3,5.5,68.03755437,0.019132821,Cabral,Wet
3/29/2022 13:58,0.008927449,-0.005337614,0.009953551,-0.003019318,2.563,29.02,139.2,3.3,5.5,-30.87469285,0.010401416,Cabral,Wet
3/29/2022 14:00,0.001525758,0.002961073,0.000764089,0.00324223,2.556,28.99,139.2,3.3,5.5,62.73920638,0.003331049,Cabral,Wet
