Site,date,TempInSitu,Salinity_psu,Depth,pH,DO_mg_L,Rn_dpm_L,PAR_calc
Cabral,2021-08-08T19:36:00Z,28.08,36.5050228776788,0.211,7.857782717017502,7.916,NA,-0.0288
Cabral,2021-08-08T19:37:00Z,28.03,36.4363405182584,0.178,7.8612652885886,7.892,NA,-0.01951
Cabral,2021-08-08T19:38:00Z,28.03,36.4745846263462,0.178,7.860260315445901,7.911,NA,0.00217
Cabral,2021-08-08T19:39:00Z,28.03,36.4771956302837,0.191,7.862737560526338,7.915,NA,-0.00093000000000000005
Cabral,2021-08-08T19:40:00Z,28.06,36.6080252655305,0.18,7.861397685396869,7.907,NA,-0.02261
Cabral,2021-08-08T19:41:00Z,28.07,36.6002490344628,0.191,7.86059139640686,7.9,NA,0.00526
Cabral,2021-08-08T19:42:00Z,28.08,36.6415772413282,0.182,7.866584735747056,7.971,NA,0.03623
Cabral,2021-08-08T19:43:00Z,28.12,36.6959946526626,0.207,7.85603818487899,7.889,NA,-0.09073
Cabral,2021-08-08T19:44:00Z,28.1,36.6700293941072,0.184,7.86243354105251,7.911,NA,0.00217
Cabral,2021-08-08T19:45:00Z,28.09,36.5615034003591,0.2,7.865584795176462,7.914,NA,-0.01951
Cabral,2021-08-08T19:46:00Z,28.09,36.5229337063514,0.205,7.863909951264625,7.879,NA,0.00836
Cabral,2021-08-08T19:47:00Z,28.07,36.5127771724275,0.178,7.84769976898607,7.755,NA,0.05791
Cabral,2021-08-08T19:48:00Z,27.98,36.4955048374349,0.189,7.844215656725628,7.635,NA,-0.06905
Cabral,2021-08-08T19:49:00Z,27.93,36.4603195977309,0.166,7.8555704407799745,7.709,NA,0.00217
Cabral,2021-08-08T19:50:00Z,27.99,36.4979853280615,0.187,7.856575413922673,7.741,NA,-0.06905
Cabral,2021-08-08T19:51:00Z,28.04,36.5900525254427,0.189,7.859722841485032,7.838,NA,-0.05047
Cabral,2021-08-08T19:52:00Z,28.12,36.6778007311785,0.203,7.863940750308043,7.853,NA,-0.07525
Cabral,2021-08-08T19:53:00Z,28.1,36.6492917529463,0.193,7.850043088495132,7.716,NA,0.03933
Cabral,2021-08-08T19:54:00Z,28.07,36.6493614560432,0.164,7.861763670272274,7.762,NA,-0.03189
Cabral,2021-08-08T19:55:00Z,28.03,36.5489045614257,0.191,7.862098605662392,7.761,NA,-0.07525
Cabral,2021-08-08T19:56:00Z,28.12,36.6830189883096,0.182,7.853693403402418,7.737,NA,-0.05976
Cabral,2021-08-08T19:57:00Z,28.06,36.538452938634,0.196,7.856240422875107,7.722,NA,-0.05976
Cabral,2021-08-08T19:58:00Z,28.02,36.4083794105524,0.158,7.864945556478397,7.833,NA,-0.06905
Cabral,2021-08-08T19:59:00Z,28.13,36.6570439077559,0.239,7.850210584018916,7.689,NA,0.03623
Cabral,2021-08-08T20:00:00Z,28.09,36.610518572825,0.176,7.856072927351324,7.682,NA,-0.05047
Cabral,2021-08-08T20:01:00Z,28.02,36.5284329711306,0.182,7.861767775159949,7.664,NA,-0.04738
Cabral,2021-08-08T20:02:00Z,28.08,36.6234450299159,0.157,7.863438347222865,7.784,NA,-0.09073
Cabral,2021-08-08T20:03:00Z,28.07,36.4947933395083,0.205,7.855940143781014,7.727,NA,-0.15266
Cabral,2021-08-08T20:04:00Z,28.06,36.5487533292287,0.169,7.857412891541588,7.706,NA,0.02694
Cabral,2021-08-08T20:05:00Z,28.02,36.4567881465111,0.18,7.863107739350213,7.728,NA,-0.03499
Cabral,2021-08-08T20:06:00Z,28.04,36.53605667483,0.175,7.863107739350213,7.761,NA,-0.02261
Cabral,2021-08-08T20:07:00Z,28.03,36.4899688282962,0.187,7.862270261731298,7.761,NA,-0.06905
Cabral,2021-08-08T20:08:00Z,28.04,36.5206014904943,0.189,7.859722841485032,7.776,NA,-0.04428
Cabral,2021-08-08T20:09:00Z,28.06,36.5076957527105,0.205,7.855270117149564,7.68,NA,0.05171
Cabral,2021-08-08T20:10:00Z,28.03,36.5617525400227,0.169,7.864244920046993,7.736,NA,0.04242
Cabral,2021-08-08T20:11:00Z,28.01,36.4161189408814,0.203,7.853427543913076,7.642,NA,-0.06596
Cabral,2021-08-08T20:12:00Z,28.06,36.5977220867174,0.166,7.860057810267399,7.687,NA,-0.11241
Cabral,2021-08-08T20:13:00Z,28.07,36.5564381933662,0.196,7.864108218003102,7.728,NA,-0.05976
Cabral,2021-08-08T20:14:00Z,28.07,36.5770373683489,0.182,7.856575413922673,7.673,NA,0.0672
Cabral,2021-08-08T20:15:00Z,28.08,36.5873261863585,0.173,7.8626010087475695,7.686,NA,-0.07834
Cabral,2021-08-08T20:16:00Z,28.03,36.3930240895012,0.182,7.861397685396869,7.676,NA,0.01455
Cabral,2021-08-08T20:17:00Z,28.08,36.553822819356,0.184,7.861093799492037,7.701,NA,-0.01641
Cabral,2021-08-08T20:18:00Z,28.09,36.5588942670914,0.194,7.855734833250145,7.669,NA,-0.07525
Cabral,2021-08-08T20:19:00Z,28.1,36.5923791301878,0.202,7.858246848676032,7.646,NA,-0.0288
Cabral,2021-08-08T20:20:00Z,28.08,36.5821769144829,0.182,7.859049190269919,7.632,NA,-0.06286
Cabral,2021-08-08T20:21:00Z,28.12,36.6467053157384,0.196,7.856872254909857,7.589,NA,-0.0288
Cabral,2021-08-08T20:22:00Z,28.1,36.6700293941072,0.2,7.852218011653903,7.542,NA,-0.03499
Cabral,2021-08-08T20:23:00Z,28.09,36.6700567842591,0.204,7.854865794140704,7.513,NA,0.0672
Cabral,2021-08-08T20:24:00Z,28.03,36.4874282433228,0.191,7.849003840449274,7.537,NA,0.03623
Cabral,2021-08-08T20:25:00Z,28.08,36.5486743352939,0.207,7.854227623994613,7.571,NA,0.05481
Cabral,2021-08-08T20:26:00Z,28.08,36.5924755793067,0.236,7.85874925176121,7.565,NA,-0.01641
Cabral,2021-08-08T20:27:00Z,28.09,36.6285758470557,0.2,7.857074574810619,7.554,NA,-0.09073
Cabral,2021-08-08T20:28:00Z,28.07,36.5306919497509,0.194,7.857409510200736,7.544,NA,-0.04738
Cabral,2021-08-08T20:29:00Z,28.07,36.5641273847517,0.187,7.855030232682112,7.546,NA,-0.03189
Cabral,2021-08-08T20:30:00Z,28.14,36.7402744450706,0.211,7.846859045412012,7.485,NA,0.00836
Cabral,2021-08-08T20:31:00Z,28.07,36.5976384811555,0.205,7.8456541526256,7.427,NA,-0.00403
Cabral,2021-08-08T20:32:00Z,28.09,36.6208166796618,0.198,7.850846168752295,7.382,NA,-0.02261
Cabral,2021-08-08T20:33:00Z,28.02,36.5335866557254,0.198,7.849338809231641,7.395,NA,-0.05976
Cabral,2021-08-08T20:34:00Z,28.06,36.5745064259555,0.205,7.850343715578744,7.397,NA,-0.05667
Cabral,2021-08-08T20:35:00Z,28.07,36.6002490344628,0.198,7.848501387275723,7.383,NA,0.05791
Cabral,2021-08-08T20:36:00Z,28.06,36.6209402082893,0.193,7.851348621925846,7.405,NA,-0.00712
Cabral,2021-08-08T20:37:00Z,28.06,36.569355564299,0.191,7.853523123586685,7.44,NA,0.04242
Cabral,2021-08-08T20:38:00Z,28.13,36.6908143501065,0.219,7.836978437640052,7.387,NA,-0.09073
Cabral,2021-08-08T20:39:00Z,28.09,36.657075510812,0.204,7.847998934102172,7.326,NA,0.00526
Cabral,2021-08-08T20:40:00Z,28.04,36.5283642320791,0.196,7.854060156299554,7.364,NA,-0.06905
Cabral,2021-08-08T20:41:00Z,28.07,36.6415987029193,0.221,7.844649246278498,7.316,NA,0.01765
Cabral,2021-08-08T20:42:00Z,28.06,36.6157176807324,0.191,7.852720414739081,7.319,NA,-0.03499
Cabral,2021-08-08T20:43:00Z,28.07,36.6208523306019,0.207,7.857071099985591,7.361,NA,-0.04738
Cabral,2021-08-08T20:44:00Z,28.13,36.7168331244775,0.227,7.85104573778849,7.352,NA,-0.15576
Cabral,2021-08-08T20:45:00Z,28.13,36.7324176630638,0.182,7.853020753888209,7.336,NA,-0.04738
Cabral,2021-08-08T20:46:00Z,28.08,36.6130743618166,0.211,7.850878270093431,7.339,NA,-0.05047
Cabral,2021-08-08T20:47:00Z,28.13,36.7116150197374,0.22,7.850040931618135,7.318,NA,0.02384
Cabral,2021-08-08T20:48:00Z,28.09,36.6337958051937,0.212,7.852385479348963,7.289,NA,0.00217
Cabral,2021-08-08T20:49:00Z,28.08,36.6778461657608,0.2,7.850843818528147,7.329,NA,0.01455
Cabral,2021-08-08T20:50:00Z,28.13,36.7168331244775,0.241,7.841634527237191,7.245,NA,-0.00093000000000000005
Cabral,2021-08-08T20:51:00Z,28.08,36.6803866266235,0.198,7.85168110135894,7.277,NA,-0.0288
Cabral,2021-08-08T20:52:00Z,28.12,36.7246284554031,0.214,7.8481987869724845,7.229,NA,0.00217
Cabral,2021-08-08T20:53:00Z,28.07,36.6907909785529,0.209,7.850173992263512,7.256,NA,-0.00093000000000000005
Cabral,2021-08-08T20:54:00Z,28.09,36.6752071764355,0.227,7.842504885340475,7.242,NA,0.01455
Cabral,2021-08-08T20:55:00Z,28.04,36.6545826709097,0.227,7.844515736210291,7.153,NA,-0.01641
Cabral,2021-08-08T20:56:00Z,28.08,36.6596403911849,0.218,7.838988383925449,7.192,NA,0.00526
Cabral,2021-08-08T20:57:00Z,28.06,36.6441607906269,0.232,7.826123958681488,7.057,NA,-0.00712
Cabral,2021-08-08T20:58:00Z,28.02,36.6934817013219,0.2,7.8495062936228255,7.155,NA,0.02694
Cabral,2021-08-08T20:59:00Z,28.04,36.6468154548759,0.262,7.84719566459082,7.177,NA,0.01455
Cabral,2021-08-08T21:00:00Z,28.08,36.7115802404125,0.212,7.843510763067592,7.158,NA,0.02694
Cabral,2021-08-08T21:01:00Z,28.04,36.6908097772567,0.225,7.851348621925846,7.163,NA,-0.01641
Cabral,2021-08-08T21:02:00Z,28.03,36.6882959647624,0.216,7.845821637016783,7.157,NA,-0.01332
Cabral,2021-08-08T21:03:00Z,28.08,36.7012054011691,0.234,7.842673285448677,7.116,NA,0.00526
Cabral,2021-08-08T21:04:00Z,28.04,36.7090315201552,0.21,7.8456541526256,7.125,NA,0.05481
Cabral,2021-08-08T21:05:00Z,28.07,36.7037790166558,0.223,7.841165825734629,7.111,NA,-0.07834
Cabral,2021-08-08T21:06:00Z,28.04,36.6882673288626,0.223,7.844348240686507,7.068,NA,-0.05976
Cabral,2021-08-08T21:07:00Z,27.99,36.6444434435176,0.205,7.848703124304868,7.109,NA,-0.03189
Cabral,2021-08-08T21:08:00Z,28.07,36.7193797968185,0.227,7.844013249638942,7.097,NA,0.04862
Cabral,2021-08-08T21:09:00Z,28.07,36.6985554740574,0.232,7.847698151162169,7.054,NA,-0.0288
Cabral,2021-08-08T21:10:00Z,28.02,36.5849889425103,0.207,7.849540601923783,7.082,NA,0.00217
Cabral,2021-08-08T21:11:00Z,28.04,36.6416609998225,0.252,7.848904864150788,7.054,NA,-0.04738
Cabral,2021-08-08T21:12:00Z,28.03,36.6494495294934,0.205,7.852723016875662,7.095,NA,0.03933
Cabral,2021-08-08T21:13:00Z,28.03,36.618447951233,0.243,7.849038115352435,7.09,NA,-0.01332
Cabral,2021-08-08T21:14:00Z,28.03,36.6365257872808,0.239,7.846894784256438,7.077,NA,-0.14028
Cabral,2021-08-08T21:15:00Z,28.02,36.6159208568181,0.221,7.846862152177283,7.035,NA,0.00526
Cabral,2021-08-08T21:16:00Z,27.99,36.5851560276527,0.216,7.845855700400556,7.028,NA,-0.01022
Cabral,2021-08-08T21:17:00Z,28.04,36.6960360137625,0.243,7.848535628781085,7.009,NA,-0.10312
Cabral,2021-08-08T21:18:00Z,28.03,36.7142209606766,0.225,7.846491574581518,7.033,NA,-0.08763
Cabral,2021-08-08T21:19:00Z,28.08,36.7532256907377,0.262,7.847496480928621,7.016,NA,-0.03189
Cabral,2021-08-08T21:20:00Z,28.07,36.7375938764952,0.218,7.851348621925846,7.032,NA,-0.03499
Cabral,2021-08-08T21:21:00Z,28.06,36.6674544241948,0.246,7.852688497055316,7.051,NA,0.01455
Cabral,2021-08-08T21:22:00Z,28.08,36.7506137944975,0.248,7.845520709352989,6.954,NA,0.01765
Cabral,2021-08-08T21:23:00Z,28.02,36.6805529880672,0.219,7.846023195924339,6.991,NA,-0.00403
Cabral,2021-08-08T21:24:00Z,28.04,36.7115742093135,0.248,7.840864544573388,6.924,NA,0.01146
Cabral,2021-08-08T21:25:00Z,28.01,36.6237058910502,0.252,7.8373469047582756,6.92,NA,-0.09383
Cabral,2021-08-08T21:26:00Z,28.02,36.716797701193,0.252,7.835638086939538,6.841,NA,-0.00403
Cabral,2021-08-08T21:27:00Z,27.95,36.6111364870702,0.239,7.839491124259958,6.851,NA,-0.04118
Cabral,2021-08-08T21:28:00Z,27.98,36.7039887411717,0.237,7.8418364513245615,6.913,NA,-0.06286
Cabral,2021-08-08T21:29:00Z,27.98,36.675496020985896,0.23,7.831952572980875,6.873,NA,-0.06286
Cabral,2021-08-08T21:30:00Z,27.98,36.6884339437718,0.225,7.845521965283224,6.908,NA,-0.04738
Cabral,2021-08-08T21:31:00Z,27.97,36.6548738603109,0.246,7.839826170983472,6.87,NA,-0.00712
Cabral,2021-08-08T21:32:00Z,28.01,36.7479991357545,0.235,7.848703124304868,6.904,NA,-0.05976
Cabral,2021-08-08T21:33:00Z,28.01,36.7792425108978,0.253,7.851383052685398,6.952,NA,0.02384
Cabral,2021-08-08T21:34:00Z,28.04,36.7792488236544,0.255,7.8390219713369005,6.928,NA,0.03623
Cabral,2021-08-08T21:35:00Z,28.02,36.7766534471179,0.228,7.840027011284076,6.892,NA,-0.05976
Cabral,2021-08-08T21:36:00Z,27.99,36.7948891807397,0.252,7.845554730993539,6.937,NA,-0.1217
Cabral,2021-08-08T21:37:00Z,28.03,36.7636070192754,0.278,7.845554730993539,6.925,NA,-0.0288
Cabral,2021-08-08T21:38:00Z,27.99,36.7532376227473,0.234,7.840328741068744,6.883,NA,-0.03499
Cabral,2021-08-08T21:39:00Z,28.01,36.7662356785223,0.264,7.846359582092011,6.893,NA,-0.05047
Cabral,2021-08-08T21:40:00Z,27.98,36.7636728346188,0.241,7.844549691046363,6.881,NA,-0.06905
Cabral,2021-08-08T21:41:00Z,27.99,36.7428436447489,0.255,7.851082450703001,6.942,NA,0.00217
Cabral,2021-08-08T21:42:00Z,28.01,36.7376092252358,0.295,7.842339021409833,6.89,NA,0.03004
Cabral,2021-08-08T21:43:00Z,28.01,36.7713959056379,0.271,7.846894784256438,6.854,NA,-0.02261
Cabral,2021-08-08T21:44:00Z,27.98,36.7351016455676,0.289,7.832488241757952,6.768,NA,0.03004
Cabral,2021-08-08T21:45:00Z,27.98,36.7818500071811,0.255,7.841668927962804,6.766,NA,0.07958
Cabral,2021-08-08T21:46:00Z,27.97,36.6962391890439,0.26,7.835001259251025,6.725,NA,-0.00712
Cabral,2021-08-08T21:47:00Z,27.95,36.7403712211527,0.237,7.843679208303892,6.776,NA,0.03313
Cabral,2021-08-08T21:48:00Z,27.95,36.6808020187877,0.278,7.841333881239289,6.775,NA,-0.01951
Cabral,2021-08-08T21:49:00Z,27.99,36.7402275509767,0.251,7.842339021409833,6.795,NA,-0.05667
Cabral,2021-08-08T21:50:00Z,27.97,36.7169601412547,0.28,7.847197198900798,6.799,NA,-0.0257
Cabral,2021-08-08T21:51:00Z,27.99,36.7195120180676,0.271,7.846527105453768,6.798,NA,-0.0288
Cabral,2021-08-08T21:52:00Z,27.98,36.7091503495287,0.257,7.831818103759799,6.774,NA,0.02384
Cabral,2021-08-08T21:53:00Z,27.97,36.7299028894594,0.262,7.832488241757952,6.698,NA,0.03004
Cabral,2021-08-08T21:54:00Z,27.95,36.6859659291672,0.258,7.841870173732093,6.755,NA,-0.06905
Cabral,2021-08-08T21:55:00Z,27.96,36.6833236826195,0.269,7.842037708231631,6.74,NA,-0.05047
Cabral,2021-08-08T21:56:00Z,27.96,36.6911036224936,0.251,7.851050236221218,6.796,NA,-0.05976
Cabral,2021-08-08T21:57:00Z,27.98,36.7636728346188,0.246,7.847062290914301,6.806,NA,-0.01022
Cabral,2021-08-08T21:58:00Z,28.02,36.7505749695005,0.316,7.8441817783891645,6.781,NA,-0.0257
Cabral,2021-08-08T21:59:00Z,27.99,36.7558538716406,0.273,7.846527105453768,6.767,NA,0.02075
Cabral,2021-08-08T22:00:00Z,27.99,36.7428436447489,0.259,7.843880587726552,6.751,NA,0.01455
Cabral,2021-08-08T22:01:00Z,27.98,36.6884339437718,0.284,7.849039955880128,6.758,NA,0.00836
Cabral,2021-08-08T22:02:00Z,27.97,36.6342294705097,0.278,7.849909904097964,6.787,NA,-0.05976
Cabral,2021-08-08T22:03:00Z,27.97,36.6548738603109,0.31,7.849039955880128,6.774,NA,-0.00403
Cabral,2021-08-08T22:04:00Z,28.02,36.737572225433,0.257,7.845521965283224,6.765,NA,-0.01641
Cabral,2021-08-08T22:05:00Z,27.98,36.6858180180359,0.271,7.843377984227937,6.717,NA,0.02075
Cabral,2021-08-08T22:06:00Z,27.97,36.6884604973547,0.278,7.8492398774665135,6.756,NA,-0.05976
Cabral,2021-08-08T22:07:00Z,28.03,36.7922970158791,0.309,7.853930063886664,6.769,NA,-0.01951
Cabral,2021-08-08T22:08:00Z,28.02,36.7505749695005,0.287,7.853930063886664,6.801,NA,0.0641
Cabral,2021-08-08T22:09:00Z,28.03,36.776608917535,0.28,7.853092530597351,6.797,NA,0.02075
Cabral,2021-08-08T22:10:00Z,28.03,36.7714504635361,0.273,7.855067954208625,6.795,NA,-0.07834
Cabral,2021-08-08T22:11:00Z,28.03,36.7975266311966,0.298,7.852890512399445,6.789,NA,-0.09692
Cabral,2021-08-08T22:12:00Z,28.03,36.7922970158791,0.314,7.853895485542144,6.782,NA,-0.00712
Cabral,2021-08-08T22:13:00Z,28.03,36.7975266311966,0.278,7.850412424071552,6.74,NA,0.05791
Cabral,2021-08-08T22:14:00Z,27.99,36.732450159116,0.271,7.854432583860251,6.777,NA,-0.04428
Cabral,2021-08-08T22:15:00Z,28.02,36.8001196583449,0.295,7.852087490650176,6.77,NA,0.00526
Cabral,2021-08-08T22:16:00Z,28.02,36.7610342576486,0.289,7.850747437387276,6.759,NA,-0.07215
Cabral,2021-08-08T22:17:00Z,28.01,36.7583895383085,0.295,7.851249957360864,6.724,NA,0.05791
Cabral,2021-08-08T22:18:00Z,27.99,36.7428436447489,0.282,7.838988554174685,6.721,NA,0.01455
Cabral,2021-08-08T22:19:00Z,27.99,36.7506214050467,0.332,7.845857012006738,6.673,NA,0.02384
Cabral,2021-08-08T22:20:00Z,27.96,36.7299367211302,0.307,7.844851871836194,6.646,NA,-0.09383
Cabral,2021-08-08T22:21:00Z,27.96,36.7663003523191,0.298,7.848202339071341,6.653,NA,-0.05047
Cabral,2021-08-08T22:22:00Z,27.99,36.768864869941,0.273,7.845521965283224,6.652,NA,0.04552
Cabral,2021-08-08T22:23:00Z,28.01,36.7688511209369,0.323,7.846527105453768,6.64,NA,-0.04738
Cabral,2021-08-08T22:24:00Z,28.02,36.7688083758885,0.311,7.848737357492926,6.644,NA,-0.02261
Cabral,2021-08-08T22:25:00Z,28.01,36.7583895383085,0.307,7.845019395197951,6.629,NA,0.03623
Cabral,2021-08-08T22:26:00Z,27.98,36.7065341766879,0.302,7.847364722262554,6.643,NA,-0.01332
Cabral,2021-08-08T22:27:00Z,27.98,36.7273230057731,0.325,7.850412424071552,6.67,NA,0.04862
Cabral,2021-08-08T22:28:00Z,28.02,36.7635784842081,0.375,7.84769976898607,6.666,NA,-0.05357
Cabral,2021-08-08T22:29:00Z,28.01,36.7818581083271,0.295,7.848067330861476,6.662,NA,-0.0257
Cabral,2021-08-08T22:30:00Z,27.99,36.7558538716406,0.332,7.847899824203614,6.655,NA,-0.0288
Cabral,2021-08-08T22:31:00Z,28.01,36.7688511209369,0.302,7.848402344177201,6.648,NA,-0.07834
Cabral,2021-08-08T22:32:00Z,28.02,36.8027350240144,0.347,7.847899824203614,6.638,NA,-0.04118
Cabral,2021-08-08T22:33:00Z,28.01,36.7688511209369,0.309,7.848402344177201,6.625,NA,0.061
Cabral,2021-08-08T22:34:00Z,27.99,36.7975059261796,0.32,7.84317663821862,6.594,NA,-0.04118
Cabral,2021-08-08T22:35:00Z,28.01,36.800097464996,0.298,7.844717197704226,6.567,NA,-0.01951
Cabral,2021-08-08T22:36:00Z,27.99,36.7532376227473,0.352,7.834297900045478,6.468,NA,-0.01641
Cabral,2021-08-08T22:37:00Z,27.98,36.8027167108021,0.318,7.83228761970439,6.418,NA,-0.10312
Cabral,2021-08-08T22:38:00Z,27.97,36.7818937505394,0.321,7.833795329960206,6.407,NA,0.03313
Cabral,2021-08-08T22:39:00Z,27.96,36.781937151192,0.321,7.825284258277808,6.369,NA,0.00836
Cabral,2021-08-08T22:40:00Z,27.96,36.8053590557169,0.305,7.831147965761645,6.357,NA,-0.0257
Cabral,2021-08-08T22:41:00Z,27.95,36.7663405314225,0.321,7.820425757791199,6.358,NA,-0.00093000000000000005
Cabral,2021-08-08T22:42:00Z,27.96,36.7975043017056,0.348,7.821228146547522,6.25,NA,-0.01641
Cabral,2021-08-08T22:43:00Z,27.92,36.8158151797433,0.321,7.814693649397043,6.253,NA,0.00836
