Site,date,TempInSitu,Salinity_psu,Depth,pH,DO_mg_L,Rn_dpm_L,PAR_calc
Cabral,2021-08-08T18:40:00Z,27.97,36.3937102372498,0.234,7.889589039814072,NA,NA,NA
Cabral,2021-08-08T18:41:00Z,28.08,36.6182949088834,0.238,7.891423366404747,8.857,NA,0.00217
Cabral,2021-08-08T18:42:00Z,28.09,36.5691899466544,0.26,7.888938955379928,8.845,NA,-0.0288
Cabral,2021-08-08T18:43:00Z,28.12,36.628515485858,0.244,7.889441475353515,8.811,NA,0.04552
Cabral,2021-08-08T18:44:00Z,28.12,36.63112401211,0.243,7.88739459029876,8.766,NA,0.00217
Cabral,2021-08-08T18:45:00Z,28.1,36.6130408635205,0.228,7.885384644013364,8.74,NA,0.02075
Cabral,2021-08-08T18:46:00Z,28.1,36.6311655584557,0.246,7.885887130584713,8.723,NA,0.03004
Cabral,2021-08-08T18:47:00Z,28.1,36.6440723836866,0.243,7.884751288933365,8.68,NA,-0.07834
Cabral,2021-08-08T18:48:00Z,28.09,36.6027600449874,0.209,7.883411235670465,8.616,NA,-0.00093000000000000005
Cabral,2021-08-08T18:49:00Z,28.04,36.5103692062892,0.225,7.882034733537702,8.618,NA,-0.04738
Cabral,2021-08-08T18:50:00Z,28.06,36.584808512732,0.241,7.884379670870665,8.607,NA,-0.00093000000000000005
Cabral,2021-08-08T18:51:00Z,28.06,36.5564436628302,0.228,7.8808622648712205,8.606,NA,-0.01022
Cabral,2021-08-08T18:52:00Z,28.07,36.5770373683489,0.235,7.881699742490135,8.573,NA,-0.03809
Cabral,2021-08-08T18:53:00Z,28.07,36.5744270916993,0.241,7.878313608906424,8.513,NA,-0.05047
Cabral,2021-08-08T18:54:00Z,28.08,36.6079244845826,0.218,7.877847345443125,8.485,NA,0.00217
Cabral,2021-08-08T18:55:00Z,28.07,36.5667375386276,0.223,7.876471280603404,8.45,NA,-0.11241
Cabral,2021-08-08T18:56:00Z,28.08,36.6001646242689,0.223,7.87650738125286,8.435,NA,-0.01641
Cabral,2021-08-08T18:57:00Z,28.06,36.5821976640739,0.2,7.875669903633945,8.431,NA,0.01765
Cabral,2021-08-08T18:58:00Z,28.04,36.5411380696621,0.225,7.873659957348547,8.398,NA,0.03933
Cabral,2021-08-08T18:59:00Z,28.07,36.6467503174826,0.207,7.872619139606178,8.369,NA,-0.01022
Cabral,2021-08-08T19:00:00Z,28.06,36.6002625515475,0.218,7.872319993158283,8.336,NA,-0.00403
Cabral,2021-08-08T19:01:00Z,28.06,36.6054141401243,0.227,7.873324966300982,8.307,NA,-0.07215
Cabral,2021-08-08T19:02:00Z,28.04,36.5514423712374,0.2,7.876004894681511,8.328,NA,-0.1217
Cabral,2021-08-08T19:03:00Z,28.02,36.5489778332047,0.212,7.871817506586933,8.324,NA,0.05171
Cabral,2021-08-08T19:04:00Z,28.03,36.55151645207,0.25,7.870142551349103,8.287,NA,-0.08144
Cabral,2021-08-08T19:05:00Z,28.03,36.569518167305,0.2,7.870980028968019,8.262,NA,-0.0288
Cabral,2021-08-08T19:06:00Z,28.03,36.5746718719668,0.201,7.8688025871588385,8.242,NA,-0.06905
Cabral,2021-08-08T19:07:00Z,28.03,36.6003716065832,0.201,7.867127631921007,8.21,NA,-0.08763
Cabral,2021-08-08T19:08:00Z,28.06,36.6441607906269,0.212,7.86779761401614,8.232,NA,0.01455
Cabral,2021-08-08T19:09:00Z,28.04,36.5797464069845,0.221,7.869137578206404,8.221,NA,-0.03189
Cabral,2021-08-08T19:10:00Z,28.07,36.6131611475014,0.193,7.867092154697115,8.208,NA,-0.09692
Cabral,2021-08-08T19:11:00Z,28.09,36.6804282454516,0.219,7.869137578206404,8.189,NA,0.00217
Cabral,2021-08-08T19:12:00Z,28.08,36.6493385686028,0.196,7.8712792644767084,8.171,NA,-0.00712
Cabral,2021-08-08T19:13:00Z,28.07,36.5770373683489,0.196,7.874126499126832,8.204,NA,-0.04428
Cabral,2021-08-08T19:14:00Z,28.08,36.5769572282087,0.201,7.865584795176462,8.193,NA,-0.10312
Cabral,2021-08-08T19:15:00Z,28.09,36.6674463577282,0.219,7.867127631921007,8.132,NA,-0.03189
Cabral,2021-08-08T19:16:00Z,28.07,36.6234631605618,0.218,7.8676301184923565,8.101,NA,-0.03189
Cabral,2021-08-08T19:17:00Z,28.03,36.5232814487095,0.193,7.865452676683176,8.09,NA,-0.1155
Cabral,2021-08-08T19:18:00Z,28.07,36.5306919497509,0.234,7.863610225921563,8.054,NA,-0.00093000000000000005
Cabral,2021-08-08T19:19:00Z,28.02,36.5310450974754,0.194,7.857782717017502,8.043,NA,-0.10312
Cabral,2021-08-08T19:20:00Z,28.03,36.5489045614257,0.201,7.861300356832614,7.961,NA,-0.02261
Cabral,2021-08-08T19:21:00Z,27.95,36.4193701533246,0.193,7.861802876806202,7.997,NA,-0.13099
Cabral,2021-08-08T19:22:00Z,28.02,36.5156551805983,0.223,7.863310436726964,7.995,NA,-0.00712
Cabral,2021-08-08T19:23:00Z,28.02,36.5181965601792,0.185,7.861600279636165,8.017,NA,0.02694
Cabral,2021-08-08T19:24:00Z,28.04,36.5771346594638,0.232,7.861600279636165,7.975,NA,-0.04118
Cabral,2021-08-08T19:25:00Z,28.04,36.6132783645098,0.185,7.865584795176462,8.031,NA,-0.05357
Cabral,2021-08-08T19:26:00Z,28.08,36.6518786990515,0.225,7.864108218003102,8.081,NA,-0.05047
Cabral,2021-08-08T19:27:00Z,28.12,36.6778007311785,0.246,7.853595050570939,7.874,NA,-0.1217
Cabral,2021-08-08T19:28:00Z,28.03,36.5669060619392,0.182,7.853092530597351,7.809,NA,-0.03189
Cabral,2021-08-08T19:29:00Z,27.97,36.4776923605748,0.189,7.863407498091074,7.873,NA,0.0641
Cabral,2021-08-08T19:30:00Z,28.03,36.569518167305,0.18,7.8599253243983345,7.921,NA,-0.08763
Cabral,2021-08-08T19:31:00Z,28.08,36.6493385686028,0.191,7.859422837826985,7.912,NA,-0.01641
Cabral,2021-08-08T19:32:00Z,28.03,36.5849090422814,0.189,7.861062716614501,7.909,NA,-0.07215
Cabral,2021-08-08T19:33:00Z,28.07,36.6363766419014,0.194,7.871273519599496,8.005,NA,-0.08144
Cabral,2021-08-08T19:34:00Z,28.09,36.6622255979389,0.212,7.864108218003102,8.037,NA,-0.04118
Cabral,2021-08-08T19:35:00Z,28.13,36.6855968646613,0.22,7.8632400136998895,7.985,NA,-0.01641
