Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],% Counts (A),% Counts (B),% Counts (C),% Counts (D),High Voltage,HV Duty Cycle,Air Temperature [Celsius],Relative Humidity [%],Leakage Current,Battery Voltage,Pump Current [mA],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Radon 2-Sigma Uncert. [Dpm/L],Calculated Thoron [Dpm/L],Calculated Thoron 2-Sigma Uncert. [Dpm/L],Radon In Water [Dpm/L],Thoron In Water [Dpm/L],Water Temperature [Celsius],Meaningful Thoron Threshold (Air) [Dpm/L],Meaningful Thoron Threshold (Water) [Dpm/L],Total Counts (A),Total Counts (B),Total Counts (C),Total Counts (D),Total Counts (Other),Avg. CPM (A),Avg. CPM (B),Avg. CPM (C),Avg. CPM (D),Avg. CPM (Other)
36,8/9/2021 8:24,21,8,9,8,24,349,4.5,63.3,0.9,30.1,0,2218,9,25.3,8,2,6.3,50,134,197.1674,28.3701,255,3,17,0.476,Sniff,463,67,7,23,67.5,11,35,7.46,10.9,221,3,105,0,20,49.1,0.698,23.3,0,4.42
37,8/9/2021 8:29,21,8,9,8,29,311,4.6,64.6,0.7,31.5,0.3,2201,9,25.3,7,2,6.3,50,134,178.3496,26.99675,255,3,18,0.488,Sniff,410,62,0,20,59.8,5,35,7.03,10.2,201,2,98,1,9,43.7,0.473,21.3,0.203,1.96
38,8/9/2021 8:34,21,8,9,8,34,355,4.5,64,0.6,31.3,0,2201,9,25.3,7,2,6.3,50,134,202.5204,28.72697,255,3,19,0.489,Sniff,473,67,0,20,68.9,4,35,7.61,11.1,227,2,111,0,15,50.5,0.473,24.7,0,3.23
39,8/9/2021 8:39,21,8,9,8,39,327,4.6,60.9,0,34.9,0.3,2218,9,25.6,7,2,6.3,50,134,175.6877,26.87158,255,3,20,0.573,Sniff,404,62,0,16,58.8,0,35,7.3,10.6,199,0,114,1,13,43.3,0,24.8,0.213,2.77
40,8/9/2021 8:44,21,8,9,8,44,378,4.5,56.1,0.8,38.6,0.3,2218,8,25.6,7,2,6.3,50,134,188.2458,27.82562,255,3,21,0.688,Sniff,439,65,0,20,64,7,35,8.71,12.7,212,3,146,1,16,47.1,0.672,32.4,0.252,3.53
41,8/9/2021 8:49,21,8,9,8,49,398,4.5,54.5,0.5,41.5,0.3,2218,9,25.6,7,2,6.27,50,134,193.5988,28.1295,255,3,22,0.761,Sniff,449,66,0,17,65.5,0,35,8.97,13.1,217,2,165,1,13,48.2,0.442,36.7,0.265,2.83
42,8/9/2021 8:54,21,8,9,8,54,339,4.5,52.5,1.8,42.8,0,2218,8,25.6,7,2,6.33,50,134,158.8045,25.6569,255,3,23,0.815,Sniff,370,60,17,27,53.9,25,35,8.68,12.6,178,6,145,0,10,39.6,1.36,32.2,0,2.18
43,8/9/2021 8:59,21,8,9,8,59,386,4.5,51.6,0,45.1,0.5,2218,9,25.9,7,2,6.3,50,134,176.6477,27.01842,255,3,24,0.874,Sniff,412,63,0,17,60.1,0,35,9.21,13.4,199,0,174,2,11,44.3,0,38.7,0.429,2.4
44,8/9/2021 9:04,21,8,9,9,4,426,4.5,54,1,41.8,0,2218,9,26.2,7,2,6.27,50,134,205.1969,28.90364,255,3,25,0.774,Sniff,479,68,8,23,69.8,12,35,9.65,14.1,230,4,178,0,14,51.1,0.947,39.6,0,3.03
45,8/9/2021 9:09,21,8,9,9,9,409,4.5,54,0.3,42.8,0.7,2218,9,26.5,7,2,6.27,50,134,196.2753,28.4299,255,3,26,0.793,Sniff,458,67,0,17,66.7,0,35,9.24,13.5,221,1,175,3,9,49.1,0.273,38.9,0.636,2
46,8/9/2021 9:14,21,8,9,9,14,406,4.5,51.7,0,44.1,0.5,2218,9,26.8,7,2,6.3,50,134,186.4615,27.76442,255,3,27,0.853,Sniff,436,65,0,17,63.6,0,35,9.34,13.6,210,0,179,2,15,46.6,0,39.8,0.451,3.34
47,8/9/2021 9:19,21,8,9,9,19,393,4.5,48.6,1,47.8,0,2218,9,27.1,7,2,6.3,50,134,170.4026,26.50859,255,3,28,0.984,Sniff,400,62,6,23,58.2,9,35,9.95,14.5,191,4,188,0,10,42.4,0.873,41.7,0,2.27
48,8/9/2021 9:24,21,8,9,9,24,407,4.5,49.9,0.7,45.5,0.3,2218,9,27.5,7,2,6.3,50,134,180.2164,27.26951,255,3,29,0.912,Sniff,424,64,0,20,61.8,0,35,9.89,14.4,203,3,185,1,15,45.1,0.633,41.2,0.271,3.26
49,8/9/2021 9:29,21,8,9,9,29,402,4.5,42.8,0.5,52.3,0.5,2218,8,27.5,7,2,6.3,50,134,152.5594,25.2534,255,3,30,1.22,Sniff,360,60,0,17,52.2,0,35,10.1,14.7,172,2,210,2,16,38.2,0.447,46.7,0.447,3.48
50,8/9/2021 9:34,21,8,9,9,34,352,4.6,42.9,0.9,54.3,0,2218,9,27.8,7,2,6.3,50,134,133.984,23.65364,255,3,31,1.27,Sniff,310,55,3,16,45.2,4,35,9.85,14.3,151,3,191,0,7,32.8,0.689,41.6,0,1.45
51,8/9/2021 9:39,21,8,9,9,39,335,4.6,40.6,0.3,56.4,0,2218,9,28.1,7,2,6.3,50,134,120.6744,22.54605,255,3,32,1.39,Sniff,280,52,0,17,40.8,0,35,9.39,13.7,136,1,189,0,9,29.6,0.218,41.1,0,1.97
52,8/9/2021 9:44,21,8,9,9,44,332,4.6,40.4,1.2,56,0,2218,9,28.4,7,2,6.27,50,134,118.8997,22.39388,255,3,33,1.39,Sniff,276,52,6,23,40.2,9,35,9.74,14.2,134,4,186,0,8,29.2,0.866,40.4,0,1.73
53,8/9/2021 9:49,21,8,9,9,49,276,4.6,35.2,1.1,59.4,1.1,2218,9,29,7,2,6.3,50,134,85.18191,19.4319,255,3,34,1.69,Sniff,197,45,0,20,28.7,5,35,9.17,13.4,97,3,164,3,9,21.1,0.66,35.6,0.66,1.92
54,8/9/2021 9:54,21,8,9,9,54,295,4.6,35.9,1.7,60,0,2218,9,29.3,7,2,6.3,50,134,94.05503,20.13147,255,3,35,1.67,Sniff,219,47,11,25,31.9,16,35,9.54,13.9,106,5,177,0,7,23,1.09,38.5,0,1.54
55,8/9/2021 9:59,21,8,9,9,59,289,4.6,30.8,1.7,63.3,0.4,2218,9,29.9,7,2,6.3,50,134,78.97073,18.61017,255,3,36,2.06,Sniff,183,44,10,25,26.7,15,35,9.74,14.2,89,5,183,1,11,19.4,1.07,39.8,0.251,2.39
56,8/9/2021 10:04,21,8,9,10,4,306,4.6,32,1.6,65.4,0,2218,9,29.9,7,2,6.3,50,134,86.95653,19.4319,255,3,37,2.04,Sniff,203,45,9,23,29.6,14,35,10.2,14.8,98,5,200,0,3,21.3,1.06,43.5,0,0.665
57,8/9/2021 10:09,21,8,9,10,9,265,4.6,33.2,0.8,61.9,1.1,2201,9,30.2,7,2,6.3,50,134,77.1961,18.61017,255,3,38,1.86,Sniff,179,44,0,17,26.2,0,35,8.75,12.8,88,2,164,3,8,19.1,0.461,35.7,0.634,1.73
58,8/9/2021 10:14,21,8,9,10,14,279,4.6,30.8,0.4,66.7,0.7,2218,9,30.2,7,2,6.3,50,134,75.42148,18.3272,255,3,39,2.17,Sniff,176,43,0,17,25.7,0,35,9.32,13.6,86,1,186,2,4,18.7,0.243,40.5,0.425,0.849
59,8/9/2021 10:19,21,8,9,10,19,252,4.6,29,1.2,66.3,0,2218,9,30.5,7,2,6.27,50,134,64.77374,17.04051,255,3,40,2.29,Sniff,150,40,0,20,22.2,5,35,9.34,13.6,73,3,167,0,9,15.9,0.657,36.3,0,1.92
60,8/9/2021 10:24,21,8,9,10,24,287,4.6,28.6,0.7,69.4,0,2218,9,30.8,7,2,6.27,50,134,72.75954,17.94221,255,3,41,2.43,Sniff,171,42,0,17,25,0,35,9.64,14,82,2,199,0,4,17.8,0.437,43.3,0,0.811
61,8/9/2021 10:29,21,8,9,10,29,238,4.6,35.3,2.1,60.1,0.9,2218,9,30.8,7,2,6.3,50,134,73.64685,18.13584,255,3,42,1.7,Sniff,173,43,13,25,25.2,19,35,8.66,12.6,84,5,143,2,4,18.3,1.09,31.1,0.466,0.828
62,8/9/2021 10:34,21,8,9,10,34,227,4.6,30.8,0.9,66.5,0,2236,9,30.8,7,2,6.3,50,134,62.11181,16.72786,255,3,43,2.16,Sniff,146,39,0,17,21.3,0,35,8.9,13,70,2,151,0,4,15.2,0.444,32.8,0,0.888
63,8/9/2021 10:39,21,8,9,10,39,230,4.6,40.4,1.3,54.8,1.8,2218,9,30.8,7,2,6.3,50,134,80.74534,19.07151,255,3,44,1.36,Sniff,189,45,10,20,27.5,10,35,8.13,11.8,93,3,126,4,4,20.2,0.65,27.4,0.9,0.85
64,8/9/2021 10:44,21,8,9,10,44,228,4.6,33.3,1.8,61.4,0,2218,9,30.8,7,2,6.3,50,134,67.43568,17.34688,255,3,45,1.84,Sniff,158,41,9,23,23.1,14,35,8.57,12.5,76,4,140,0,8,16.5,0.892,30.4,0,1.73
65,8/9/2021 10:49,21,8,9,10,49,233,4.6,32.6,0.9,64,0,2218,9,30.5,7,2,6.27,50,134,67.43568,17.34688,255,3,46,1.96,Sniff,158,41,1,17,23.1,1,35,8.83,12.9,76,2,149,0,6,16.5,0.456,32.4,0,1.27
66,8/9/2021 10:54,21,8,9,10,54,235,4.6,38.3,1.3,56.6,0.9,2218,9,30.2,7,2,6.3,50,134,78.97073,18.70344,255,3,47,1.48,Sniff,185,44,10,20,26.9,8,35,8.32,12.1,90,3,133,2,7,19.6,0.664,28.9,0.46,1.48
67,8/9/2021 10:59,21,8,9,10,59,193,4.6,32.7,0,63.7,1.6,2218,8,30.2,7,2,6.3,50,134,54.71594,15.99516,255,3,48,1.95,Sniff,128,38,0,17,18.6,0,35,7.58,11,63,0,123,3,4,13.7,0,26.7,0.671,0.839
68,8/9/2021 11:04,21,8,9,11,4,228,4.6,40.4,1.3,55.3,0,2218,9,30.2,7,2,6.27,50,134,81.63267,18.88847,255,3,49,1.37,Sniff,191,44,10,20,27.9,8,35,8.1,11.8,92,3,126,0,7,20,0.644,27.4,0,1.49
69,8/9/2021 11:09,21,8,9,11,9,217,4.6,35.5,1.4,59,0.9,2218,9,29.9,7,2,6.3,50,134,67.07115,17.35335,255,3,50,1.66,Sniff,157,41,10,20,22.9,8,35,8.15,11.9,77,3,128,2,7,16.7,0.66,27.8,0.425,1.51
70,8/9/2021 11:14,21,8,9,11,14,219,4.6,35.2,0.5,60.3,0.9,2218,9,29.9,7,2,6.27,50,134,67.07115,17.35335,255,3,51,1.71,Sniff,158,41,0,17,23,0,35,7.85,11.4,77,1,132,2,7,16.8,0.238,28.7,0.428,1.48
71,8/9/2021 11:19,21,8,9,11,19,193,4.6,34.2,1.6,62.2,0,2218,9,30.2,6,2,6.3,50,134,58.246,16.21243,255,3,52,1.82,Sniff,137,38,10,20,19.9,9,35,7.87,11.5,66,3,120,0,4,14.3,0.671,26.1,0,0.839
72,8/9/2021 11:24,21,8,9,11,24,200,4.6,39.5,0.5,57.5,0,2218,9,30.2,7,2,6.27,50,134,69.7187,17.55194,255,3,53,1.46,Sniff,163,41,0,17,23.8,0,35,7.33,10.7,79,1,115,0,5,17.2,0.217,25,0,1.09
73,8/9/2021 11:29,21,8,9,11,29,181,4.6,31.5,1.7,63.5,0.6,2236,9,31.1,7,2,6.3,50,134,50.30336,15.2071,255,3,54,2.02,Sniff,117,36,10,20,17.1,9,35,7.75,11.3,57,3,115,1,5,12.4,0.669,25,0.236,1.06
74,8/9/2021 11:34,21,8,9,11,34,166,4.6,33.1,1.8,62.7,0,2218,9,32.9,7,2,6.27,50,134,48.53833,14.97331,255,3,55,1.89,Sniff,116,36,7,23,16.9,10,35,7.49,10.9,55,3,104,0,4,11.9,0.65,22.6,0,0.866
75,8/9/2021 11:39,21,8,9,11,39,158,4.6,38,1.9,57.6,0,2201,8,34.2,7,2,6.3,50,134,52.95092,15.55036,255,3,56,1.52,Sniff,128,38,8,23,18.7,11,35,7.07,10.3,60,3,91,0,4,13.1,0.653,19.8,0,0.859
76,8/9/2021 11:44,21,8,9,11,44,151,4.6,35.8,0.7,60.3,0.7,2218,8,34.2,7,2,6.3,50,134,46.7733,14.85485,255,3,57,1.68,Sniff,114,36,0,17,16.6,0,35,6.52,9.5,54,1,91,1,4,11.8,0.23,19.8,0.23,0.821
77,8/9/2021 11:49,21,8,9,11,49,149,4.6,34.9,0.7,61.8,0.7,2218,9,33.9,7,2,6.3,50,134,45.89079,14.61464,255,3,58,1.77,Sniff,110,35,0,17,16,0,35,6.55,9.55,52,1,92,1,3,11.3,0.227,20,0.227,0.615
78,8/9/2021 11:54,21,8,9,11,54,161,4.6,31.1,1.3,65.9,0,2218,9,33.5,7,2,6.27,50,134,44.12576,14.36987,255,3,59,2.12,Sniff,106,35,3,21,15.5,0,35,7.59,11.1,50,2,106,0,3,10.9,0.455,23.1,0,0.595
79,8/9/2021 11:59,21,8,9,11,59,149,4.6,32.9,0.7,61.8,0.7,2236,9,33.2,7,2,6.3,50,134,42.36072,14.24568,255,3,60,1.88,Sniff,103,34,0,17,15,0,35,6.55,9.55,49,1,92,1,6,10.7,0.227,20,0.227,1.26
80,8/9/2021 12:05,21,8,9,12,5,145,4.6,26.9,1.4,66.9,0,2218,8,32.9,6,2,6.27,50,134,34.41809,12.92806,255,3,61,2.49,Sniff,82,31,0,20,12,0,35,7.2,10.5,39,2,97,0,7,8.48,0.441,21.1,0,1.51
81,8/9/2021 12:10,21,8,9,12,10,147,4.6,40.1,0.7,56.5,0,2218,9,32.6,6,2,6.27,50,134,52.06839,15.4369,255,3,62,1.41,Sniff,123,36,0,17,17.9,0,35,6.22,9.07,59,1,83,0,4,12.8,0.224,18.1,0,0.863
82,8/9/2021 12:15,21,8,9,12,15,166,4.6,44,0,52.4,0,2218,9,32.3,6,2,6.3,50,134,64.42361,16.9484,255,3,63,1.19,Sniff,150,40,0,17,22,0,35,6.37,9.29,73,0,87,0,6,15.9,0,18.9,0,1.3
83,8/9/2021 12:20,21,8,9,12,20,151,4.6,42.4,0.7,53.7,0,2218,8,32,7,2,6.27,50,134,56.48097,15.99516,255,3,64,1.27,Sniff,133,38,0,17,19.4,0,35,6.15,8.96,64,1,81,0,5,13.9,0.23,17.6,0,1.05
84,8/9/2021 12:25,21,8,9,12,25,148,4.6,43.3,0.7,53.4,0.7,2218,8,31.7,6,2,6.27,50,134,56.48097,15.99516,255,3,65,1.23,Sniff,132,38,0,17,19.3,0,35,6.07,8.85,64,1,79,1,3,13.9,0.225,17.2,0.225,0.611
85,8/9/2021 12:30,21,8,9,12,30,158,4.6,50.6,1.3,47.5,0,2201,9,31.7,7,2,6.3,50,134,70.60122,17.65031,255,3,66,0.939,Sniff,166,42,0,20,24.2,6,35,6.26,9.12,80,2,75,0,1,17.4,0.447,16.3,0,0.206
86,8/9/2021 12:35,21,8,9,12,35,139,4.6,48.2,1.5,43.2,0.7,2218,9,31.7,6,2,6.27,50,134,59.12852,16.31984,255,3,67,0.896,Sniff,138,39,10,20,20.1,8,35,5.6,8.15,67,2,60,1,9,14.6,0.453,13.1,0.212,1.93
87,8/9/2021 12:40,21,8,9,12,40,162,4.6,40.1,0.6,54.3,0,2218,9,32,6,2,6.27,50,134,57.36348,16.1042,255,3,68,1.35,Sniff,135,38,0,17,19.7,0,35,6.41,9.34,65,1,88,0,8,14.1,0.211,19.1,0,1.76
88,8/9/2021 12:45,21,8,9,12,45,157,4.6,49.7,0,47.1,0.6,2218,9,32,6,2,6.3,50,134,68.83618,17.45296,255,3,69,0.948,Sniff,160,41,0,17,23.3,0,35,5.88,8.57,78,0,74,1,4,17,0,16.1,0.205,0.887
89,8/9/2021 12:50,21,8,9,12,50,166,4.6,48.8,0,47.6,0.6,2218,9,32,7,2,6.27,50,134,71.48372,17.74806,255,3,70,0.975,Sniff,167,42,0,17,24.3,0,35,6.07,8.85,81,0,79,1,5,17.6,0,17.2,0.217,1.08
90,8/9/2021 12:55,21,8,9,12,55,141,4.6,44.7,0.7,51.8,0.7,2218,9,32,6,2,6.27,50,134,54.71594,15.88527,255,3,71,1.16,Sniff,130,38,0,17,19,0,35,6.18,9.01,63,1,73,1,3,13.7,0.215,15.9,0.215,0.644
91,8/9/2021 13:00,21,8,9,13,0,145,4.6,47.6,0,45.5,1.4,2218,9,32,6,2,6.27,50,134,60.01103,16.53233,255,3,72,0.956,Sniff,141,39,0,17,20.5,0,35,5.55,8.09,69,0,66,2,8,15,0,14.3,0.441,1.73
92,8/9/2021 13:05,21,8,9,13,5,155,4.6,45.8,1.9,49.7,0.7,2218,9,31.7,6,2,6.3,50,134,61.77606,16.74181,255,3,73,1.09,Sniff,145,39,8,23,21.1,12,35,6.28,9.16,71,3,77,1,3,15.4,0.64,16.7,0.236,0.64
93,8/9/2021 13:10,21,8,9,13,10,141,4.6,45.4,0.7,52.5,0,2218,9,31.4,6,2,6.3,50,134,56.48097,15.99516,255,3,74,1.16,Sniff,132,37,0,17,19.2,0,35,6.15,8.96,64,1,74,0,2,13.9,0.215,16.1,0,0.429
94,8/9/2021 13:15,21,8,9,13,15,141,4.6,45.4,0.7,52.5,0,2218,9,31.4,6,2,6.3,50,134,56.48097,15.99516,255,3,75,1.16,Sniff,132,37,0,17,19.2,0,35,6.15,8.96,64,1,74,0,2,13.9,0.215,16.1,0,0.429
95,8/9/2021 13:20,21,8,9,13,20,135,4.6,43.7,2.2,50.4,0.8,2218,9,32,7,2,6.27,50,134,51.18588,15.4369,255,3,76,1.15,Sniff,121,36,9,23,17.6,13,35,5.94,8.66,59,3,68,1,4,12.8,0.646,14.8,0.235,0.851
96,8/9/2021 13:25,21,8,9,13,25,133,4.6,44.4,0,54.1,0,2218,8,32.6,7,2,6.27,50,134,52.06839,15.4369,255,3,77,1.22,Sniff,124,37,0,17,18.1,0,35,5.8,8.45,59,0,72,0,2,12.8,0,15.6,0,0.434
97,8/9/2021 13:30,21,8,9,13,30,157,4.6,43.3,0,52.9,0.6,2218,9,33.9,7,2,6.27,50,134,60.01103,16.42647,255,3,78,1.22,Sniff,140,40,0,17,20.9,0,35,6.22,9.07,68,0,83,1,5,14.8,0,18.1,0.205,1.09
98,8/9/2021 13:35,21,8,9,13,35,132,4.6,44.7,3.8,47.7,1.5,2218,9,36.6,7,2,6.27,50,134,51.18588,15.4369,255,3,79,1.07,Sniff,125,38,18,28,18.3,27,35,5.97,8.7,59,5,63,2,3,12.8,1.09,13.7,0.43,0.66
99,8/9/2021 13:40,21,8,9,13,40,151,4.6,45.7,1.3,49.7,0,2218,9,37.8,7,2,6.27,50,134,60.89355,16.53233,255,3,80,1.09,Sniff,151,41,4,21,22,6,35,6.57,9.57,69,2,75,0,5,15,0.427,16.3,0,1.08
100,8/9/2021 13:45,21,8,9,13,45,160,4.6,43.8,0.6,53.8,0,2218,9,36.9,7,2,6.3,40,134,61.77606,16.63744,255,3,81,1.23,Sniff,152,41,0,17,22.2,0,35,6.34,9.23,70,1,86,0,3,15.2,0.209,18.7,0,0.626
101,8/9/2021 13:50,21,8,9,13,50,132,4.6,44.7,1.5,50,0.8,2201,9,36,7,2,6.27,50,134,52.06839,15.4369,255,3,82,1.12,Sniff,126,38,5,21,18.4,7,35,6.09,8.87,59,2,66,1,4,12.8,0.43,14.3,0.23,0.861
102,8/9/2021 13:55,21,8,9,13,55,162,4.6,50.6,0,46.9,0,2218,9,35.1,6,2,6.27,40,134,72.36625,17.84522,255,3,83,0.927,Sniff,175,43,0,17,25.5,0,35,5.96,8.68,82,0,76,0,4,17.8,0,16.5,0,0.88
103,8/9/2021 14:00,21,8,9,14,0,144,4.6,41.7,0.7,52.8,0,2218,9,34.2,6,2,6.27,50,134,52.95092,15.55036,255,3,84,1.27,Sniff,126,37,0,17,18.4,0,35,5.96,8.68,60,1,76,0,7,13.1,0.219,16.5,0,1.5
104,8/9/2021 14:05,21,8,9,14,5,120,4.6,35,0.8,57.5,0,2218,9,33.5,6,2,6.27,40,134,37.06564,13.33911,255,3,85,1.64,Sniff,88,32,0,17,12.8,0,35,6.01,8.76,42,1,69,0,8,9.13,0.209,15,0,1.75
105,8/9/2021 14:10,21,8,9,14,10,137,4.6,35.8,3.7,56.9,1.5,2218,9,32.9,6,2,6.27,50,134,42.36072,14.24568,255,3,86,1.59,Sniff,99,34,17,27,14.5,25,35,6.37,9.28,49,5,78,2,3,10.7,1.1,16.9,0.447,0.625
106,8/9/2021 14:15,21,8,9,14,15,127,4.6,34.7,3.2,57.5,0.8,2218,9,32.6,6,2,6.27,50,134,38.83066,13.60521,255,3,87,1.66,Sniff,90,32,13,25,13.1,19,35,6.15,8.96,44,4,73,1,5,9.58,0.883,15.9,0.221,1.05
107,8/9/2021 14:20,21,8,9,14,20,124,4.6,39.5,0.8,55.7,0,2218,8,32.3,6,2,6.27,50,134,43.24325,14.24568,255,3,88,1.41,Sniff,101,33,0,17,14.8,0,35,5.97,8.69,49,1,69,0,5,10.6,0.216,15,0,1.08
108,8/9/2021 14:25,21,8,9,14,25,133,4.6,41.4,0,54.1,0,2201,9,32.3,6,2,6.27,50,134,48.53833,14.97331,255,3,89,1.31,Sniff,114,35,0,17,16.6,0,35,5.8,8.45,55,0,72,0,6,12,0,15.6,0,1.3
109,8/9/2021 14:30,21,8,9,14,30,119,4.6,48.8,0.9,49.6,0.9,2218,9,32.3,6,2,6.27,50,134,51.18588,15.32249,255,3,90,1.02,Sniff,119,36,1,17,17.3,2,35,5.52,8.04,58,1,59,1,0,12.6,0.233,12.8,0.233,0
110,8/9/2021 14:35,21,8,9,14,35,129,4.6,46.5,1.6,47.3,0,2218,9,32.3,6,2,6.27,50,134,52.95092,15.55036,255,3,91,1.02,Sniff,124,36,10,20,18.1,8,35,5.61,8.17,60,2,61,0,6,13,0.449,13.3,0,1.29
111,8/9/2021 14:40,21,8,9,14,40,101,4.6,38.6,0,56.4,0,2218,9,32.6,6,2,6.27,50,134,34.41809,12.92806,255,3,92,1.46,Sniff,80,30,0,17,11.8,0,35,5.16,7.52,39,0,57,0,5,8.48,0,12.4,0,1.1
112,8/9/2021 14:45,21,8,9,14,45,123,4.6,50.4,1.6,47.2,0.8,2218,9,32.9,6,2,6.27,50,134,54.71594,15.77452,255,3,93,0.937,Sniff,128,37,10,20,18.6,7,35,5.49,8,62,2,58,1,0,13.5,0.428,12.6,0.214,0
