date,rain,wind,waves
2021-08-01T00:00:00Z,0,5,1.5
2021-08-01T01:00:00Z,0,5,1.5
2021-08-01T02:00:00Z,0,4,1.5
2021-08-01T03:00:00Z,0,4,1.5
2021-08-01T04:00:00Z,0,4,1.5
2021-08-01T05:00:00Z,0,3,1.5
2021-08-01T06:00:00Z,0,4,1.5
2021-08-01T07:00:00Z,0,4,1.5
2021-08-01T08:00:00Z,0,7,1.5
2021-08-01T09:00:00Z,0,9,1.5
2021-08-01T10:00:00Z,0,8,1.5
2021-08-01T11:00:00Z,0,8,1.4
2021-08-01T12:00:00Z,0,8,1.4
2021-08-01T13:00:00Z,0,8,1.4
2021-08-01T14:00:00Z,0,10,1.4
2021-08-01T15:00:00Z,0,10,1.4
2021-08-01T16:00:00Z,0,10,1.3
2021-08-01T17:00:00Z,0,10,1.3
2021-08-01T18:00:00Z,0,10,1.3
2021-08-01T19:00:00Z,0,11,1.3
2021-08-01T20:00:00Z,0,12,1.3
2021-08-01T21:00:00Z,0,14,1.3
2021-08-01T22:00:00Z,0,15,1.3
2021-08-01T23:00:00Z,0,15,1.3
2021-08-02T00:00:00Z,0,14,1.3
2021-08-02T01:00:00Z,0,14,1.3
2021-08-02T02:00:00Z,0,14,1.3
2021-08-02T03:00:00Z,0,14,1.3
2021-08-02T04:00:00Z,0,13,1.3
2021-08-02T05:00:00Z,0,14,1.3
2021-08-02T06:00:00Z,0,14,1.3
2021-08-02T07:00:00Z,0,13,1.3
2021-08-02T08:00:00Z,0,12,1.3
2021-08-02T09:00:00Z,0,14,1.3
2021-08-02T10:00:00Z,0,14,1.3
2021-08-02T11:00:00Z,0,14,1.3
2021-08-02T12:00:00Z,0,13,1.3
2021-08-02T13:00:00Z,0,12,1.3
2021-08-02T14:00:00Z,0,13,1.3
2021-08-02T15:00:00Z,0,12,1.3
2021-08-02T16:00:00Z,0,12,1.3
2021-08-02T17:00:00Z,0,12,1.3
2021-08-02T18:00:00Z,0,11,1.3
2021-08-02T19:00:00Z,0,10,1.2
2021-08-02T20:00:00Z,0,10,1.2
2021-08-02T21:00:00Z,0,11,1.2
2021-08-02T22:00:00Z,0,12,1.2
2021-08-02T23:00:00Z,0,13,1.2
2021-08-03T00:00:00Z,0,12,1.2
2021-08-03T01:00:00Z,0,12,1.2
2021-08-03T02:00:00Z,0,10,1.2
2021-08-03T03:00:00Z,0,10,1.2
2021-08-03T04:00:00Z,0,10,1.1
2021-08-03T05:00:00Z,0,10,1.1
2021-08-03T06:00:00Z,0,10,1.1
2021-08-03T07:00:00Z,0,9,1.1
2021-08-03T08:00:00Z,0,10,1.1
2021-08-03T09:00:00Z,0,10,1.1
2021-08-03T10:00:00Z,0,10,1.1
2021-08-03T11:00:00Z,0.1,10,1.1
2021-08-03T12:00:00Z,0,10,1.1
2021-08-03T13:00:00Z,0.1,10,1.1
2021-08-03T14:00:00Z,0,11,1.1
2021-08-03T15:00:00Z,0,11,1.1
2021-08-03T16:00:00Z,0.1,11,1.2
2021-08-03T17:00:00Z,0.1,11,1.2
2021-08-03T18:00:00Z,0,10,1.2
2021-08-03T19:00:00Z,0,10,1.2
2021-08-03T20:00:00Z,0,10,1.2
2021-08-03T21:00:00Z,0,10,1.3
2021-08-03T22:00:00Z,0.1,11,1.3
2021-08-03T23:00:00Z,0,11,1.4
2021-08-04T00:00:00Z,0.1,10,1.4
2021-08-04T01:00:00Z,0.3,9,1.4
2021-08-04T02:00:00Z,0.1,12,1.5
2021-08-04T03:00:00Z,0.1,12,1.5
2021-08-04T04:00:00Z,0.1,12,1.5
2021-08-04T05:00:00Z,0.1,12,1.5
2021-08-04T06:00:00Z,0.1,12,1.5
2021-08-04T07:00:00Z,0.1,13,1.6
2021-08-04T08:00:00Z,0.1,14,1.6
2021-08-04T09:00:00Z,0.1,15,1.6
2021-08-04T10:00:00Z,0,14,1.6
2021-08-04T11:00:00Z,0,14,1.6
2021-08-04T12:00:00Z,0,14,1.6
2021-08-04T13:00:00Z,0.1,14,1.5
2021-08-04T14:00:00Z,0,13,1.5
2021-08-04T15:00:00Z,0,13,1.5
2021-08-04T16:00:00Z,0,11,1.5
2021-08-04T17:00:00Z,0,11,1.5
2021-08-04T18:00:00Z,0,10,1.5
2021-08-04T19:00:00Z,0,9,1.5
2021-08-04T20:00:00Z,0,9,1.5
2021-08-04T21:00:00Z,0,8,1.5
2021-08-04T22:00:00Z,0,8,1.5
2021-08-04T23:00:00Z,0,7,1.5
2021-08-05T00:00:00Z,0,7,1.5
2021-08-05T01:00:00Z,0,7,1.5
2021-08-05T02:00:00Z,0,7,1.5
2021-08-05T03:00:00Z,0,8,1.4
2021-08-05T04:00:00Z,0,8,1.4
2021-08-05T05:00:00Z,0,8,1.4
2021-08-05T06:00:00Z,0,8,1.4
2021-08-05T07:00:00Z,0.1,9,1.4
2021-08-05T08:00:00Z,0.1,10,1.4
2021-08-05T09:00:00Z,0.1,10,1.4
2021-08-05T10:00:00Z,0.1,11,1.3
2021-08-05T11:00:00Z,0,10,1.3
2021-08-05T12:00:00Z,0,9,1.3
2021-08-05T13:00:00Z,0,9,1.3
2021-08-05T14:00:00Z,0,8,1.3
2021-08-05T15:00:00Z,0,7,1.3
2021-08-05T16:00:00Z,0,6,1.3
2021-08-05T17:00:00Z,0,6,1.4
2021-08-05T18:00:00Z,0,5,1.4
2021-08-05T19:00:00Z,0,4,1.4
2021-08-05T20:00:00Z,0,6,1.4
2021-08-05T21:00:00Z,0,5,1.5
2021-08-05T22:00:00Z,0,4,1.5
2021-08-05T23:00:00Z,0,4,1.6
2021-08-06T00:00:00Z,0,4,1.6
2021-08-06T01:00:00Z,0,4,1.7
2021-08-06T02:00:00Z,0,4,1.7
2021-08-06T03:00:00Z,0,5,1.8
2021-08-06T04:00:00Z,0,5,1.8
2021-08-06T05:00:00Z,0,7,1.9
2021-08-06T06:00:00Z,0,7,1.9
2021-08-06T07:00:00Z,0,7,1.9
2021-08-06T08:00:00Z,0,8,2
2021-08-06T09:00:00Z,0,9,2
2021-08-06T10:00:00Z,0,9,2
2021-08-06T11:00:00Z,0,9,2.1
2021-08-06T12:00:00Z,0,8,2.1
2021-08-06T13:00:00Z,0,7,2.1
