,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01.03.2022,17,17,17,17,16,16,16,18,19,17,16,15,15,14,13,14,15,15,15,16,16,16,15,16
02.03.2022,16,17,17,16,15,14,15,15,17,15,16,16,16,16,14,13,13,13,14,14,15,15,14,14
03.03.2022,13,12,13,12,12,13,13,13,12,13,13,14,14,14,14,14,14,15,15,15,15,16,15,14
04.03.2022,14,13,15,15,15,15,14,13,14,15,16,15,14,14,15,15,16,17,17,18,17,17,17,17
05.03.2022,17,16,16,15,15,15,16,18,17,17,17,16,15,16,14,13,13,13,12,13,13,13,14,14
06.03.2022,13,13,12,12,12,12,12,12,14,15,14,14,14,13,12,12,12,12,13,13,13,13,13,13
07.03.2022,14,14,13,13,13,13,13,12,13,12,11,13,13,13,13,13,12,12,12,13,13,12,12,12
08.03.2022,13,12,12,13,13,12,13,12,13,12,12,12,13,12,12,11,11,10,10,10,11,11,11,11
09.03.2022,9,9,9,10,10,10,11,12,12,11,11,12,11,11,13,14,15,15,15,15,15,15,14,14
10.03.2022,13,13,11,11,11,11,12,12,13,13,13,12,11,10,10,10,10,10,11,11,11,11,11,11
11.03.2022,11,11,10,10,10,11,11,11,11,10,9,9,8,9,10,10,9,8,9,9,9,10,9,9
12.03.2022,9,10,11,11,10,11,11,10,11,10,11,12,10,9,9,9,9,9,9,10,10,10,10,9
13.03.2022,9,9,10,10,9,10,10,9,7,6,7,8,8,8,11,11,11,10,9,8,7,8,9,10
14.03.2022,9,10,9,8,10,12,12,11,11,11,11,11,11,10,9,9,8,8,8,9,8,9,8,6
15.03.2022,6,4,3,5,7,8,7,8,5,5,5,5,4,4,0,1,1,1,1,3,3,4,3,3
16.03.2022,3,2,3,2,3,4,5,4,4,3,3,2,3,3,3,3,3,3,3,2,2,2,2,3
17.03.2022,4,4,5,5,4,4,4,3,3,4,4,5,5,6,5,5,5,4,3,3,3,3,2,2
18.03.2022,3,4,5,6,7,7,7,9,9,9,10,11,11,9,9,10,10,10,11,11,12,12,11,11
19.03.2022,11,11,10,11,12,14,13,13,14,16,16,16,16,15,15,14,14,13,13,13,14,13,14,14
20.03.2022,14,13,13,13,14,14,15,16,17,18,18,18,18,18,18,17,16,15,16,16,16,15,15,15
21.03.2022,15,15,16,15,16,16,15,15,14,13,13,10,11,11,8,7,7,8,8,9,10,11,11,12
22.03.2022,12,13,10,10,11,11,11,11,11,12,13,11,10,10,8,8,7,7,6,8,6,5,6,7
23.03.2022,9,10,12,13,13,12,11,12,12,12,11,12,12,12,10,9,8,8,8,9,10,10,9,9
24.03.2022,7,8,8,8,10,10,9,10,10,12,12,11,11,10,10,11,12,12,12,13,13,12,14,14
25.03.2022,12,11,12,12,11,11,13,13,13,14,14,13,12,10,11,11,11,11,11,12,11,11,12,11
26.03.2022,12,12,11,11,12,12,12,13,14,13,13,13,13,12,13,13,12,12,12,11,11,11,10,12
27.03.2022,12,10,11,11,12,11,11,11,12,12,12,13,14,13,13,13,13,13,13,14,14,13,14,13
28.03.2022,12,12,12,11,12,13,13,14,14,15,14,13,14,13,13,13,14,14,13,13,13,13,14,14
29.03.2022,15,14,14,14,14,14,14,15,15,15,14,14,14,14,13,13,13,12,12,13,11,13,13,13
30.03.2022,12,11,12,12,12,12,12,12,11,11,11,10,9,7,7,7,8,7,7,9,10,9,8,8
31.03.2022,8,8,11,11,11,11,12,12,12,11,11,11,11,9,9,11,12,12,12,12,10,11,11,10
01.04.2022,9,9,9,10,10,10,10,10,6,6,7,9,8,8,9,10,10,10,9,8,7,6,7,7
02.04.2022,7,7,6,5,5,5,6,7,8,12,13,13,13,12,12,11,11,12,12,11,11,11,10,9
03.04.2022,9,9,7,6,6,5,4,7,9,9,10,11,12,11,12,12,11,11,12,12,14,13,12,12
04.04.2022,11,12,11,13,16,14,14,15,15,15,14,14,15,14,13,13,12,13,12,13,13,13,14,14
05.04.2022,14,14,15,16,16,17,17,18,17,18,18,18,18,17,17,17,17,17,17,17,17,18,19,18
06.04.2022,19,19,18,18,19,19,18,19,19,17,18,18,18,18,18,17,17,17,17,17,18,17,16,17
07.04.2022,17,15,14,15,16,15,15,16,17,19,17,17,16,16,16,15,14,13,12,12,13,14,14,15
08.04.2022,15,15,14,13,14,15,16,16,16,18,18,18,17,16,16,15,14,14,15,17,17,18,17,17
09.04.2022,17,17,16,16,15,16,16,17,18,19,20,20,19,20,17,16,14,13,12,12,14,14,14,13
10.04.2022,13,13,13,13,14,15,17,17,17,18,18,19,17,18,17,16,17,19,18,17,16,15,16,16
11.04.2022,14,13,13,12,12,11,14,14,13,14,14,13,14,14,14,14,14,14,13,13,13,14,13,14
12.04.2022,14,15,14,14,14,14,16,16,17,16,16,16,13,14,14,13,11,10,12,12,13,11,12,13
13.04.2022,13,14,14,15,16,16,17,17,16,16,16,17,17,17,17,18,18,18,17,17,16,16,17,18
14.04.2022,18,16,16,17,17,16,16,16,17,17,17,18,17,16,15,15,15,14,14,14,15,14,16,16
15.04.2022,15,16,17,17,16,15,14,15,14,16,16,15,16,16,15,14,14,13,13,12,13,13,12,11
16.04.2022,13,12,12,11,11,12,12,12,11,11,12,11,11,9,9,8,6,7,7,6,6,8,9,9
17.04.2022,10,10,9,10,11,12,12,12,12,12,12,11,11,11,11,11,10,9,9,10,9,9,9,9
18.04.2022,8,8,9,8,7,7,7,8,9,9,9,9,9,8,5,4,4,5,6,6,5,6,7,7
