datetime,Significant_wave_height,Dominant_wave_period
2021-01-05T16:20:00Z,0.566,10.37
2021-01-05T18:20:00Z,0.53,9.86
2021-01-05T20:19:00Z,0.531,10.44
2021-01-05T22:20:00Z,0.506,10.45
2021-01-06T00:20:00Z,0.528,10.59
2021-01-06T02:19:00Z,0.536,9.79
2021-01-06T04:20:00Z,0.539,9.7
2021-01-06T06:20:00Z,0.509,9.62
2021-01-06T08:19:00Z,0.525,10.15
2021-01-06T10:20:00Z,0.511,10.1
2021-01-06T12:20:00Z,0.489,10.18
2021-01-06T14:19:00Z,0.496,10.88
2021-01-06T16:20:00Z,0.566,11
2021-01-06T18:20:00Z,0.607,11.53
2021-01-06T20:19:00Z,0.585,11.6
2021-01-06T22:20:00Z,0.584,12.35
2021-01-07T00:20:00Z,0.578,12.37
2021-01-07T02:19:00Z,0.547,11.85
2021-01-07T04:20:00Z,0.627,11.89
2021-01-07T06:20:00Z,0.642,11.85
2021-01-07T08:19:00Z,0.704,12.57
2021-01-07T10:20:00Z,0.736,12.64
2021-01-07T12:20:00Z,0.702,12.58
2021-01-07T14:19:00Z,0.779,12.79
2021-01-07T16:20:00Z,0.87,12.67
2021-01-07T18:20:00Z,0.885,11.77
2021-01-07T20:19:00Z,1.038,12.02
2021-01-07T22:20:00Z,1.016,12.37
2021-01-08T00:20:00Z,0.943,11.65
2021-01-08T02:19:00Z,0.838,11.5
2021-01-08T04:20:00Z,0.808,11.26
2021-01-08T06:20:00Z,0.834,11.46
2021-01-08T08:19:00Z,0.879,11.51
2021-01-08T10:20:00Z,0.973,11.62
2021-01-08T12:20:00Z,0.913,11.57
2021-01-08T14:19:00Z,0.922,11.14
2021-01-08T16:20:00Z,0.761,10.67
2021-01-08T18:20:00Z,0.763,10.91
2021-01-08T20:19:00Z,0.856,10.72
2021-01-08T22:20:00Z,0.874,10.59
2021-01-09T00:20:00Z,0.84,10.59
2021-01-09T02:19:00Z,0.887,10.47
2021-01-09T04:20:00Z,0.839,10.31
2021-01-09T06:20:00Z,0.802,10.18
2021-01-09T08:19:00Z,0.794,10.34
2021-01-09T10:20:00Z,0.786,10.86
2021-01-09T12:20:00Z,0.846,11.06
2021-01-09T14:19:00Z,0.859,10.67
2021-01-09T16:20:00Z,0.727,10.45
2021-01-09T18:20:00Z,0.728,10.62
2021-01-09T20:19:00Z,0.727,10.6
2021-01-09T22:20:00Z,0.664,10.5
2021-01-10T00:20:00Z,0.672,11.25
2021-01-10T02:19:00Z,0.687,11.37
2021-01-10T04:20:00Z,0.714,11.79
2021-01-10T06:20:00Z,0.698,11.77
2021-01-10T08:19:00Z,0.753,11.71
2021-01-10T10:20:00Z,0.751,12.55
2021-01-10T12:20:00Z,0.684,13.17
2021-01-10T14:19:00Z,0.726,12.99
2021-01-10T16:20:00Z,0.752,13.95
2021-01-10T18:20:00Z,0.813,16.97
2021-01-10T20:19:00Z,0.946,17.46
2021-01-10T22:20:00Z,0.873,16.81
2021-01-11T00:20:00Z,0.949,18.09
2021-01-11T02:19:00Z,1.138,18.43
2021-01-11T04:20:00Z,1.26,17.77
2021-01-11T06:20:00Z,0.936,17.18
2021-01-11T08:19:00Z,1.053,17.64
2021-01-11T10:20:00Z,1.283,17.68
2021-01-11T12:20:00Z,1.213,17.04
2021-01-11T14:19:00Z,0.965,15.91
2021-01-11T16:20:00Z,1.26,16.75
2021-01-11T18:20:00Z,1.221,16.81
2021-01-11T20:19:00Z,1.122,16.32
2021-01-11T22:20:00Z,1.132,16.35
2021-01-12T00:20:00Z,1.21,16.69
2021-01-12T02:19:00Z,1.125,16.14
2021-01-12T04:20:00Z,1.058,16.1
2021-01-12T06:20:00Z,0.993,15.02
2021-01-12T08:19:00Z,1.028,14.98
2021-01-12T10:20:00Z,1.155,15.39
2021-01-12T12:20:00Z,1.11,15.23
2021-01-12T14:19:00Z,1.073,15.22
2021-01-12T16:20:00Z,0.996,15.29
2021-01-12T18:20:00Z,1,15.19
2021-01-12T20:19:00Z,1.061,14.53
2021-01-12T22:20:00Z,1.096,14.48
2021-01-13T00:20:00Z,0.999,14.55
2021-01-13T02:19:00Z,0.887,14.43
2021-01-13T04:20:00Z,0.891,14.36
2021-01-13T06:20:00Z,0.89,13.56
2021-01-13T08:19:00Z,0.906,13.54
2021-01-13T10:20:00Z,0.898,13.59
2021-01-13T12:20:00Z,0.877,13.45
2021-01-13T14:19:00Z,0.847,13.58
2021-01-13T16:20:00Z,0.953,13.53
2021-01-13T18:20:00Z,0.925,13.19
2021-01-13T20:19:00Z,0.892,13.1
2021-01-13T22:20:00Z,0.912,13.19
2021-01-14T00:20:00Z,0.76,12.38
2021-01-14T02:19:00Z,0.757,12.63
2021-01-14T04:20:00Z,0.737,12.32
2021-01-14T06:20:00Z,0.678,12.15
2021-01-14T08:19:00Z,0.65,12.34
2021-01-14T10:20:00Z,0.762,12.39
2021-01-14T12:20:00Z,0.814,12.82
2021-01-14T14:19:00Z,0.737,12.56
2021-01-14T16:20:00Z,0.82,12.33
2021-01-14T18:20:00Z,0.833,12.5
2021-01-14T20:19:00Z,0.822,12.36
2021-01-14T22:20:00Z,0.739,12.04
2021-01-15T00:20:00Z,0.72,11.77
2021-01-15T02:19:00Z,0.768,11.71
2021-01-15T04:20:00Z,0.688,11.59
2021-01-15T06:20:00Z,0.717,12.18
2021-01-15T08:19:00Z,0.748,12.56
2021-01-15T10:20:00Z,0.815,13.13
2021-01-15T12:20:00Z,0.841,13.72
2021-01-15T14:19:00Z,0.92,13.86
2021-01-15T16:20:00Z,1.061,14.17
2021-01-15T18:20:00Z,1.241,14.22
2021-01-15T20:19:00Z,1.263,13.98
2021-01-15T22:20:00Z,1.264,14.18
2021-01-16T00:20:00Z,1.477,14.12
2021-01-16T02:19:00Z,1.611,13.95
2021-01-16T04:20:00Z,1.611,14.25
2021-01-16T06:20:00Z,1.619,14.23
2021-01-16T08:19:00Z,1.66,13.49
2021-01-16T10:20:00Z,1.743,13.53
2021-01-16T12:20:00Z,1.726,13.69
2021-01-16T14:19:00Z,2.174,13.47
2021-01-16T16:20:00Z,2.112,12.91
2021-01-16T18:20:00Z,1.507,12.64
2021-01-16T20:19:00Z,1.431,12.53
2021-01-16T22:20:00Z,1.469,12.54
2021-01-17T00:20:00Z,1.177,12.12
2021-01-17T02:19:00Z,1.218,12.38
2021-01-17T04:20:00Z,1.322,12.37
2021-01-17T06:20:00Z,1.181,12.46
2021-01-17T08:19:00Z,0.961,12.47
2021-01-17T10:20:00Z,1.084,12.34
2021-01-17T12:20:00Z,1.068,12.81
2021-01-17T14:19:00Z,1.043,12.96
2021-01-17T16:20:00Z,1.051,12.95
2021-01-17T18:20:00Z,1.089,13.46
2021-01-17T20:19:00Z,1.127,13.65
2021-01-17T22:20:00Z,1.072,13.44
2021-01-18T00:20:00Z,1.055,14.03
2021-01-18T02:19:00Z,1.119,14.25
2021-01-18T04:20:00Z,1.166,14.14
2021-01-18T06:20:00Z,1.337,14.93
2021-01-18T08:19:00Z,1.335,14.59
2021-01-18T10:20:00Z,1.261,14.23
2021-01-18T12:20:00Z,1.289,13.93
2021-01-18T14:19:00Z,1.003,12.84
2021-01-18T16:20:00Z,0.991,13.26
2021-01-18T18:20:00Z,0.981,13.18
2021-01-18T20:19:00Z,0.982,13.03
2021-01-18T22:20:00Z,1.003,13.36
2021-01-19T00:20:00Z,0.96,13.17
2021-01-19T02:19:00Z,0.896,12.78
2021-01-19T04:20:00Z,0.771,13.24
2021-01-19T06:20:00Z,0.736,13
2021-01-19T08:19:00Z,0.731,12.54
2021-01-19T10:20:00Z,0.739,12.77
2021-01-19T12:20:00Z,0.736,12.81
2021-01-19T14:19:00Z,0.663,12.67
2021-01-19T16:20:00Z,0.666,12.25
2021-01-19T18:20:00Z,0.663,11.97
2021-01-19T20:19:00Z,0.649,12.73
2021-01-19T22:20:00Z,0.543,12.54
2021-01-20T00:20:00Z,0.524,12.7
2021-01-20T02:19:00Z,0.552,13
2021-01-20T04:20:00Z,0.54,12.04
2021-01-20T06:20:00Z,0.596,12.49
2021-01-20T08:19:00Z,0.604,12.2
2021-01-20T10:20:00Z,0.506,12.3
2021-01-20T12:20:00Z,0.516,12.06
2021-01-20T14:19:00Z,0.541,11.88
2021-01-20T16:20:00Z,0.577,12.1
2021-01-20T18:20:00Z,0.59,12.32
2021-01-20T20:19:00Z,0.557,11.69
2021-01-20T22:20:00Z,0.514,11.64
2021-01-21T00:20:00Z,0.586,11.71
2021-01-21T02:19:00Z,0.571,11.81
2021-01-21T04:20:00Z,0.576,11.3
2021-01-21T06:20:00Z,0.547,11.71
2021-01-21T08:19:00Z,0.513,12.03
2021-01-21T10:20:00Z,0.488,11.66
2021-01-21T12:20:00Z,0.448,11.12
2021-01-21T14:19:00Z,0.454,11.13
2021-01-21T16:20:00Z,0.451,11.18
2021-01-21T18:20:00Z,0.478,11.71
2021-01-21T20:19:00Z,0.497,11.98
2021-01-21T22:20:00Z,0.469,11.55
2021-01-22T00:20:00Z,0.46,11.37
2021-01-22T02:19:00Z,0.456,12.46
2021-01-22T04:20:00Z,0.44,12.14
2021-01-22T06:20:00Z,0.419,11.8
2021-01-22T08:19:00Z,0.415,11.73
2021-01-22T10:20:00Z,0.425,11.83
2021-01-22T12:20:00Z,0.456,11.83
2021-01-22T14:19:00Z,0.459,12.22
2021-01-22T16:20:00Z,0.46,12.7
2021-01-22T18:20:00Z,0.504,12.36
2021-01-22T20:19:00Z,0.464,12.03
2021-01-22T22:20:00Z,0.477,12.62
2021-01-23T00:20:00Z,0.476,12.34
2021-01-23T02:19:00Z,0.498,13
2021-01-23T04:20:00Z,0.552,13.52
2021-01-23T06:20:00Z,0.532,13.56
2021-01-23T08:19:00Z,0.518,14.1
2021-01-23T10:20:00Z,0.557,14.99
2021-01-23T12:20:00Z,0.613,15.39
2021-01-23T14:19:00Z,0.691,16.3
2021-01-23T16:20:00Z,0.765,15.82
2021-01-23T18:20:00Z,0.78,15.59
2021-01-23T20:19:00Z,0.777,15.27
2021-01-23T22:20:00Z,0.795,14.91
2021-01-24T00:20:00Z,0.87,14.78
2021-01-24T02:19:00Z,1.032,15.12
2021-01-24T04:20:00Z,0.968,15.11
2021-01-24T06:20:00Z,0.947,14.96
2021-01-24T08:19:00Z,0.84,13.5
2021-01-24T10:20:00Z,0.853,13.67
2021-01-24T12:20:00Z,0.965,13.13
2021-01-24T14:19:00Z,0.881,13.8
2021-01-24T16:20:00Z,0.819,14.24
2021-01-24T18:20:00Z,0.917,13.38
2021-01-24T20:19:00Z,0.919,12.63
2021-01-24T22:20:00Z,0.877,12.59
2021-01-25T00:20:00Z,0.868,12.62
2021-01-25T02:19:00Z,0.938,13.84
2021-01-25T04:20:00Z,0.795,13.44
2021-01-25T06:20:00Z,0.827,13.16
2021-01-25T08:19:00Z,0.865,12.84
2021-01-25T10:20:00Z,0.848,13
2021-01-25T12:20:00Z,0.804,12.62
2021-01-25T14:19:00Z,0.699,12.21
2021-01-25T16:20:00Z,0.722,12.29
2021-01-25T18:20:00Z,0.73,12.22
2021-01-25T20:19:00Z,0.693,11.76
2021-01-25T22:20:00Z,0.649,11.84
2021-01-26T00:20:00Z,0.63,11.67
2021-01-26T02:19:00Z,0.689,11.61
2021-01-26T04:20:00Z,0.664,12.24
2021-01-26T06:20:00Z,0.636,11.55
2021-01-26T08:19:00Z,0.673,11.37
2021-01-26T10:20:00Z,0.628,11.43
2021-01-26T12:20:00Z,0.609,11.95
2021-01-26T14:19:00Z,0.612,11.9
2021-01-26T16:20:00Z,0.566,12.18
2021-01-26T18:20:00Z,0.633,12.34
2021-01-26T20:19:00Z,0.609,11.79
2021-01-26T22:20:00Z,0.542,11.5
2021-01-27T00:20:00Z,0.508,11.82
2021-01-27T02:19:00Z,0.601,12.12
2021-01-27T04:20:00Z,0.555,11.84
2021-01-27T06:20:00Z,0.541,11.81
2021-01-27T08:19:00Z,0.58,10.78
2021-01-27T10:20:00Z,0.606,10.78
2021-01-27T12:20:00Z,0.611,11.11
2021-01-27T14:19:00Z,0.606,11.24
2021-01-27T16:20:00Z,0.542,11.79
2021-01-27T18:20:00Z,0.47,12.36
2021-01-27T20:19:00Z,0.463,11.95
2021-01-27T22:20:00Z,0.487,11.34
2021-01-28T00:20:00Z,0.477,12.01
2021-01-28T02:19:00Z,0.493,12.42
2021-01-28T04:20:00Z,0.491,12.3
2021-01-28T06:20:00Z,0.572,13.04
2021-01-28T08:19:00Z,0.568,13.12
2021-01-28T10:20:00Z,0.577,13.21
2021-01-28T12:20:00Z,0.615,13.71
2021-01-28T14:19:00Z,0.72,13.72
2021-01-28T16:20:00Z,0.813,14.93
2021-01-28T18:20:00Z,0.777,15.45
2021-01-28T20:19:00Z,0.886,15.63
2021-01-28T22:20:00Z,0.87,15.49
2021-01-29T00:20:00Z,0.876,15.56
2021-01-29T02:19:00Z,1.052,15.36
2021-01-29T04:20:00Z,0.998,15.02
2021-01-29T06:20:00Z,1.169,15.49
2021-01-29T08:19:00Z,1.459,15.66
2021-01-29T10:20:00Z,1.638,15.92
2021-01-29T12:20:00Z,1.568,15.23
2021-01-29T14:19:00Z,1.359,14.89
2021-01-29T16:20:00Z,1.358,14.84
2021-01-29T18:20:00Z,1.291,14.78
2021-01-29T20:19:00Z,1.253,14.74
2021-01-29T22:20:00Z,1.228,14.72
2021-01-30T00:20:00Z,1.276,14.33
2021-01-30T02:19:00Z,1.34,14.24
2021-01-30T04:20:00Z,1.571,13.94
2021-01-30T06:20:00Z,1.492,13.89
2021-01-30T08:19:00Z,1.246,13.84
2021-01-30T10:20:00Z,1.27,13.79
2021-01-30T12:20:00Z,1.366,13.23
2021-01-30T14:19:00Z,1.367,13.11
2021-01-30T16:20:00Z,1.245,13.27
2021-01-30T18:20:00Z,1.04,12.92
2021-01-30T20:19:00Z,1.205,12.71
2021-01-30T22:20:00Z,1.116,12.44
2021-01-31T00:20:00Z,0.986,12.54
2021-01-31T02:19:00Z,0.923,12.47
2021-01-31T04:20:00Z,0.864,11.99
2021-01-31T06:20:00Z,0.834,12.33
2021-01-31T08:19:00Z,0.716,12.45
2021-01-31T10:20:00Z,0.707,11.95
2021-01-31T12:20:00Z,0.668,11.75
2021-01-31T14:19:00Z,0.699,11.65
2021-01-31T16:20:00Z,0.712,11.48
2021-01-31T18:20:00Z,0.637,11.3
2021-01-31T20:19:00Z,0.653,11.43
2021-01-31T22:20:00Z,0.688,11.55
2021-02-01T00:20:00Z,0.666,11.52
2021-02-01T02:19:00Z,0.594,11.27
2021-02-01T04:20:00Z,0.539,10.85
2021-02-01T06:20:00Z,0.532,10.61
2021-02-01T08:19:00Z,0.554,10.4
2021-02-01T10:20:00Z,0.524,10.3
2021-02-01T12:20:00Z,0.503,9.87
2021-02-01T14:19:00Z,0.555,9.29
2021-02-01T16:20:00Z,0.532,9.89
2021-02-01T18:20:00Z,0.493,10.11
2021-02-01T20:19:00Z,0.447,10.25
2021-02-01T22:20:00Z,0.446,10.6
2021-02-02T00:20:00Z,0.378,10.78
2021-02-02T02:19:00Z,0.394,10.73
2021-02-02T04:20:00Z,0.431,10.77
2021-02-02T06:20:00Z,0.471,11.96
2021-02-02T08:19:00Z,0.518,12.8
2021-02-02T10:20:00Z,0.494,12.77
2021-02-02T12:20:00Z,0.568,13.18
2021-02-02T14:19:00Z,0.72,13.42
2021-02-02T16:20:00Z,0.976,13.58
2021-02-02T18:20:00Z,1.057,13.32
2021-02-02T20:19:00Z,0.991,13.38
2021-02-02T22:20:00Z,0.997,13.05
2021-02-03T00:20:00Z,1.118,13.03
2021-02-03T02:19:00Z,1.159,12.91
2021-02-03T04:20:00Z,1.17,12.74
2021-02-03T06:20:00Z,0.899,12.73
2021-02-03T08:19:00Z,1.028,12.71
2021-02-03T10:20:00Z,1.044,12.73
2021-02-03T12:20:00Z,1.104,12.58
2021-02-03T14:19:00Z,1.091,12.38
2021-02-03T16:20:00Z,1.126,12.13
2021-02-03T18:20:00Z,1.001,12.62
2021-02-03T20:19:00Z,0.917,12.6
2021-02-03T22:20:00Z,0.879,11.32
2021-02-04T00:20:00Z,0.871,10.69
2021-02-04T02:19:00Z,0.86,10.99
2021-02-04T04:20:00Z,0.85,11.11
2021-02-04T06:20:00Z,0.817,11.27
2021-02-04T08:19:00Z,0.863,11.77
2021-02-04T10:20:00Z,0.876,11.71
2021-02-04T12:20:00Z,0.783,12.18
2021-02-04T14:19:00Z,0.759,11.8
2021-02-04T16:20:00Z,0.808,12.26
2021-02-04T18:20:00Z,0.804,12.97
2021-02-04T20:19:00Z,0.775,13.02
2021-02-04T22:20:00Z,0.734,12.21
2021-02-05T00:20:00Z,0.721,11.13
2021-02-05T02:19:00Z,0.71,11
2021-02-05T04:20:00Z,0.749,11.76
2021-02-05T06:20:00Z,0.813,12.42
2021-02-05T08:19:00Z,0.813,11.71
2021-02-05T10:20:00Z,0.762,11.79
2021-02-05T12:20:00Z,0.806,11.34
2021-02-05T14:19:00Z,0.891,11.83
2021-02-05T16:20:00Z,0.831,12
2021-02-05T18:20:00Z,0.84,11.87
2021-02-05T20:19:00Z,0.85,12.3
2021-02-05T22:20:00Z,0.778,11.99
2021-02-06T00:20:00Z,0.707,12.07
2021-02-06T02:19:00Z,0.747,11.86
2021-02-06T04:20:00Z,0.748,11.69
2021-02-06T06:20:00Z,0.697,11.41
2021-02-06T08:19:00Z,0.728,11.73
2021-02-06T10:20:00Z,0.669,11.47
2021-02-06T12:20:00Z,0.709,12
2021-02-06T14:19:00Z,0.664,11.86
2021-02-06T16:20:00Z,0.648,11.39
2021-02-06T18:20:00Z,0.66,11.74
2021-02-06T20:19:00Z,0.656,11.85
2021-02-06T22:20:00Z,0.692,12.08
2021-02-07T00:20:00Z,0.678,11.54
2021-02-07T02:19:00Z,0.69,11.21
2021-02-07T04:20:00Z,0.686,10.82
2021-02-07T06:20:00Z,0.666,11.12
2021-02-07T08:19:00Z,0.72,10.85
2021-02-07T10:20:00Z,0.81,11.11
2021-02-07T12:20:00Z,0.682,11.29
2021-02-07T14:19:00Z,0.695,11.21
2021-02-07T16:20:00Z,0.703,11.13
2021-02-07T18:20:00Z,0.701,11.11
2021-02-07T20:19:00Z,0.675,11.13
2021-02-07T22:20:00Z,0.682,11.27
2021-02-08T00:20:00Z,0.724,11.36
2021-02-08T02:19:00Z,0.777,11.33
2021-02-08T04:20:00Z,0.772,11.45
2021-02-08T06:20:00Z,0.771,11.05
2021-02-08T08:19:00Z,0.794,11.08
2021-02-08T10:20:00Z,0.811,12
2021-02-08T12:20:00Z,0.739,12.51
2021-02-08T14:19:00Z,0.74,11.72
2021-02-08T16:20:00Z,0.755,11.53
2021-02-09T10:20:00Z,0.935,13.74
2021-02-09T12:20:00Z,1.026,14.01
2021-02-09T14:19:00Z,1.058,14.98
2021-02-09T16:20:00Z,0.983,13.67
2021-02-09T18:20:00Z,1.089,13.36
2021-02-09T20:19:00Z,1.012,14.04
2021-02-09T22:20:00Z,1.157,14.3
2021-02-10T00:20:00Z,1.217,15.28
2021-02-10T02:19:00Z,0.948,13.58
2021-02-10T04:20:00Z,1.004,14.32
2021-02-10T06:20:00Z,0.888,13.08
2021-02-10T08:19:00Z,1.171,14.9
2021-02-10T10:20:00Z,1.084,13.55
2021-02-10T12:20:00Z,0.962,14.45
2021-02-10T14:19:00Z,1.074,14.6
2021-02-10T16:20:00Z,1.115,14.34
2021-02-10T18:20:00Z,0.989,13.73
2021-02-10T20:19:00Z,1.099,12.82
2021-02-10T22:20:00Z,1.123,13.35
2021-02-11T00:20:00Z,1.049,12.02
2021-02-11T02:19:00Z,1.017,13.29
2021-02-11T04:20:00Z,1.111,13.13
2021-02-11T06:20:00Z,1.217,12.47
2021-02-11T08:19:00Z,1.094,12.28
2021-02-11T10:20:00Z,1.022,12.61
2021-02-11T12:20:00Z,1.196,12.68
2021-02-11T14:19:00Z,1.005,13.03
2021-02-11T16:20:00Z,1.028,13.05
2021-02-11T18:20:00Z,0.878,12.18
2021-02-11T20:19:00Z,1.059,12.77
2021-02-11T22:20:00Z,0.932,13.16
2021-02-12T00:20:00Z,0.927,13.04
2021-02-12T02:19:00Z,0.85,13.22
2021-02-12T04:20:00Z,0.906,13.25
2021-02-12T06:20:00Z,0.83,12.89
2021-02-12T08:19:00Z,0.835,12.32
2021-02-12T10:20:00Z,0.881,12.46
2021-02-12T12:20:00Z,0.915,11.52
2021-02-12T14:19:00Z,0.82,12.21
2021-02-12T16:20:00Z,0.766,13.15
2021-02-12T18:20:00Z,0.644,12.59
2021-02-12T20:19:00Z,0.801,12.48
2021-02-12T22:20:00Z,0.907,12.96
2021-02-13T00:20:00Z,0.884,12.36
2021-02-13T02:19:00Z,0.929,12.93
2021-02-13T04:20:00Z,0.878,13.31
2021-02-13T06:20:00Z,0.882,12.84
2021-02-13T08:19:00Z,0.778,13.33
2021-02-13T10:20:00Z,0.871,13.01
2021-02-13T12:20:00Z,0.764,13.05
2021-02-13T14:19:00Z,0.855,13.48
2021-02-13T16:20:00Z,0.691,12.98
2021-02-13T18:20:00Z,0.846,13.43
2021-02-13T20:19:00Z,0.797,13.55
2021-02-13T22:20:00Z,0.949,13.69
2021-02-14T00:20:00Z,0.898,13.07
2021-02-14T02:19:00Z,0.757,12.7
2021-02-14T04:20:00Z,0.841,13.11
2021-02-14T06:20:00Z,0.802,13.01
2021-02-14T08:19:00Z,0.808,12.68
2021-02-14T10:20:00Z,0.944,13.3
2021-02-14T12:20:00Z,0.789,12.68
2021-02-14T14:19:00Z,0.763,12.16
2021-02-14T16:20:00Z,0.814,12.57
2021-02-14T18:20:00Z,0.749,12.88
2021-02-14T20:19:00Z,0.794,12.82
2021-02-14T22:20:00Z,0.77,12.02
2021-02-15T00:20:00Z,0.757,12.56
2021-02-15T02:19:00Z,0.648,12.02
2021-02-15T04:20:00Z,0.703,12.06
2021-02-15T06:20:00Z,0.65,11.57
2021-02-15T08:19:00Z,0.768,12.45
2021-02-15T10:20:00Z,0.695,11.66
2021-02-15T12:20:00Z,0.678,11.73
2021-02-15T14:19:00Z,0.579,11.58
2021-02-15T16:20:00Z,0.557,11.95
2021-02-15T18:20:00Z,0.552,12.35
2021-02-15T20:19:00Z,0.547,12
2021-02-15T22:20:00Z,0.531,12.12
2021-02-16T00:20:00Z,0.505,11.45
2021-02-16T02:19:00Z,0.544,11.49
2021-02-16T04:20:00Z,0.512,11.86
2021-02-16T06:20:00Z,0.518,11.92
2021-02-16T08:19:00Z,0.522,11.65
2021-02-16T10:20:00Z,0.584,11.89
2021-02-16T12:20:00Z,0.467,11.51
2021-02-16T14:19:00Z,0.502,11.54
2021-02-16T16:20:00Z,0.412,11.38
2021-02-16T18:20:00Z,0.479,11.67
2021-02-16T20:19:00Z,0.42,11.4
2021-02-16T22:20:00Z,0.482,11.85
2021-02-17T00:20:00Z,0.469,12.15
2021-02-17T02:19:00Z,0.507,11.86
2021-02-17T04:20:00Z,0.539,11.74
2021-02-17T06:20:00Z,0.538,13.32
2021-02-17T08:19:00Z,0.522,12.87
2021-02-17T10:20:00Z,0.736,14.34
2021-02-17T12:20:00Z,0.692,14.45
2021-02-17T14:19:00Z,0.746,13.64
2021-02-17T16:20:00Z,0.773,13.01
2021-02-17T18:20:00Z,0.918,13.64
2021-02-17T20:19:00Z,0.93,13.09
2021-02-17T22:20:00Z,1.096,12.86
2021-02-18T00:20:00Z,1.024,12.59
2021-02-18T02:19:00Z,1.142,12.45
2021-02-18T04:20:00Z,0.963,12.54
2021-02-18T06:20:00Z,1.254,12.33
2021-02-18T08:19:00Z,1.162,12.14
2021-02-18T10:20:00Z,1.104,12.19
2021-02-18T12:20:00Z,1.05,11.95
2021-02-18T14:19:00Z,1.256,12.05
2021-02-18T16:20:00Z,1.191,12.29
2021-02-18T18:20:00Z,1.078,11.8
2021-02-18T20:19:00Z,1.188,11.77
2021-02-18T22:20:00Z,1,12.24
2021-02-19T00:20:00Z,0.996,11.33
2021-02-19T02:19:00Z,0.923,11.94
2021-02-19T04:20:00Z,0.846,11.87
2021-02-19T06:20:00Z,0.97,11.5
2021-02-19T08:19:00Z,0.848,11.55
2021-02-19T10:20:00Z,0.931,12.08
2021-02-19T12:20:00Z,0.712,11.85
2021-02-19T14:19:00Z,0.846,11.88
2021-02-19T16:20:00Z,0.834,11.65
2021-02-19T18:20:00Z,0.66,12.04
2021-02-19T20:19:00Z,0.726,11.64
2021-02-19T22:20:00Z,0.734,12.07
2021-02-20T00:20:00Z,0.726,12.13
2021-02-20T02:19:00Z,0.604,11.51
2021-02-20T04:20:00Z,0.549,11.93
2021-02-20T06:20:00Z,0.596,12.18
2021-02-20T08:19:00Z,0.572,11.52
2021-02-20T10:20:00Z,0.487,12.01
2021-02-20T12:20:00Z,0.495,12.68
2021-02-20T14:19:00Z,0.489,12.86
2021-02-20T16:20:00Z,0.528,11.99
2021-02-20T18:20:00Z,0.565,13.02
2021-02-20T20:19:00Z,0.651,13.67
2021-02-20T22:20:00Z,0.525,13.03
2021-02-21T00:20:00Z,0.647,9.87
2021-02-21T02:19:00Z,0.754,10.58
2021-02-21T04:20:00Z,0.716,11.31
