datetime,Significant_wave_height,Dominant_wave_period
2021-01-01T00:20:00Z,0.44,11.76
2021-01-01T02:19:00Z,0.468,11.57
2021-01-01T04:20:00Z,0.445,11.44
2021-01-01T06:20:00Z,0.441,11.12
2021-01-01T08:19:00Z,0.45,11.19
2021-01-01T10:20:00Z,0.433,11.43
2021-01-01T12:20:00Z,0.44,11.42
2021-01-01T14:19:00Z,0.474,11.07
2021-01-01T16:20:00Z,0.489,10.98
2021-01-01T18:20:00Z,0.432,10
2021-01-01T20:19:00Z,0.462,10.18
2021-01-01T22:20:00Z,0.508,10.19
2021-01-02T00:20:00Z,0.48,9.85
2021-01-02T02:19:00Z,0.459,9.93
2021-01-02T04:20:00Z,0.464,10.03
2021-01-02T06:20:00Z,0.517,10.7
2021-01-02T08:19:00Z,0.532,10.13
2021-01-02T10:20:00Z,0.531,10.7
2021-01-02T12:20:00Z,0.556,10.93
2021-01-02T14:19:00Z,0.629,11.4
2021-01-02T16:20:00Z,0.658,11.53
2021-01-02T18:20:00Z,0.686,11.6
2021-01-02T20:19:00Z,0.707,11.11
2021-01-02T22:20:00Z,0.717,11.34
2021-01-03T00:20:00Z,0.642,10.94
2021-01-03T02:19:00Z,0.599,10.54
2021-01-03T04:20:00Z,0.591,10.91
2021-01-03T06:20:00Z,0.581,10.48
2021-01-03T08:19:00Z,0.575,9.8
2021-01-03T10:20:00Z,0.599,10.31
2021-01-03T12:20:00Z,0.618,9.47
2021-01-03T14:19:00Z,0.654,10.23
2021-01-03T16:20:00Z,0.635,10.61
2021-01-03T18:20:00Z,0.635,10.74
2021-01-03T20:19:00Z,0.623,11.01
2021-01-03T22:20:00Z,0.608,11.72
2021-01-04T00:20:00Z,0.618,12.06
2021-01-04T02:19:00Z,0.615,11.98
2021-01-04T04:20:00Z,0.595,10.65
2021-01-04T06:20:00Z,0.641,10.57
2021-01-04T08:19:00Z,0.632,10.51
2021-01-04T10:20:00Z,0.641,10.04
2021-01-04T12:20:00Z,0.661,10.13
2021-01-04T14:19:00Z,0.686,9.71
2021-01-04T16:20:00Z,0.704,9.46
2021-01-04T18:20:00Z,0.72,9.28
2021-01-04T20:19:00Z,0.743,8.65
2021-01-04T22:20:00Z,0.756,8.51
2021-01-05T00:20:00Z,0.669,8.82
2021-01-05T02:19:00Z,0.626,9.77
2021-01-05T04:20:00Z,0.595,9.73
2021-01-05T06:20:00Z,0.6,9.82
2021-01-05T08:19:00Z,0.571,9.76
2021-01-05T10:20:00Z,0.581,10.15
2021-01-05T12:20:00Z,0.548,9.68
2021-01-05T14:19:00Z,0.533,10.3
