,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01.03.2022,0.3,0.4,,,,0.7,0.2,0.8,,,,,,,,,,,,,,,,0.1
02.03.2022,0.1,0.1,,,,,,,,,,0.3,0.1,,,0.1,0.4,1.3,0.9,,,,,
03.03.2022,,,,,,,,0.6,0.9,0.6,,1.1,0.1,,0.4,0.4,0.1,1.1,0.7,0.4,,,0.8,1.1
04.03.2022,1.8,1.4,0.5,0.2,0.1,0.1,0.1,,0.3,0.2,,,,,,0.1,0.2,0.1,,,,,0.1,
05.03.2022,,0.1,0.1,,,,0.1,,,,,,0.1,,,,,,,,,,,0.1
06.03.2022,,0.2,0.4,,0.1,0.2,0.2,0.3,,,,,0.1,,0.3,0.5,0.1,,0.1,,0.1,0.1,0.2,0.2
07.03.2022,0.1,,,,,0.1,,0.1,0.1,,,,,,,,,,,,0.1,,,0.1
08.03.2022,0.1,0.2,0.2,,,,,,,,,0.1,,,,,,0.1,0.2,,0.1,0.2,0.1,0.8
09.03.2022,1.4,1.6,0.2,,0.2,0.1,0.1,0.2,,,,,,0.1,0.2,0.8,1,0.9,1.1,1.3,0.3,0.4,0.5,0.4
10.03.2022,0.4,0.4,,,,,0.1,,,,,,0.1,0.1,,,,,,,,,,
11.03.2022,,,0.2,0.2,0.1,,0.1,,,,,,,,0.1,,,,,,,,,
12.03.2022,,,,,0.1,,,,,,0.1,,,,,,,,,0.1,0.1,,,
13.03.2022,,,,0.1,0.1,,,,,,,,,,0.1,0.3,0.1,,,,,,,
14.03.2022,,,,,0.1,,0.1,0.1,,,,,,,,,,,,,,,,
15.03.2022,,,,0.1,0.1,,,,,,,,,,0.1,0.1,0.1,,0.1,,,,,
16.03.2022,,,,,,,,,,,,,,,,,,,,,,,,
17.03.2022,,,,,,,,,,,,,,,,,,,,,,,,
18.03.2022,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,0.1
19.03.2022,,0.1,,,,,,0.1,,,0.1,,0.1,,,,,,,0.1,,0.2,0.7,0.7
20.03.2022,0.6,0.1,,0.1,0.3,,,,0.1,0.1,0.1,,,,0.1,,,,,,,,,0.1
21.03.2022,0.3,0.3,0.5,0.1,0.1,,0.1,0.3,0.3,0.1,0.6,0.4,0.4,0.5,0.3,,,,,,,,,0.2
22.03.2022,,,0.3,0.3,0.1,,,0.4,,,,0.4,0.2,0.1,0.3,0.3,,,0.4,0.1,,0.2,0.5,0.1
23.03.2022,0.4,,,,,,0.3,0.2,,,0.4,,,0.1,0.3,0.1,0.3,0.5,0.6,0.3,0.1,,0.4,
24.03.2022,0.1,0.1,,0.2,0.3,0.5,0.1,0.1,0.1,,0.1,,,,,0.3,0.2,,0.1,,0.1,,,
25.03.2022,0.3,,0.4,0.2,0.1,,,,,,,,,,0.1,,,,,,,0.1,0.2,0.2
26.03.2022,,,,0.1,0.1,0.1,0.1,,0.1,0.2,0.2,,,,0.1,0.4,,,,,0.2,0.8,0.6,0.6
27.03.2022,0.1,,2.1,2.3,1.7,0.1,,,0.5,0.5,0.5,0.5,0.7,0.2,,0.4,0.7,0.1,,,,,,0.1
28.03.2022,,,,,,0.2,0.2,0.2,0.1,0.1,,,0.1,,,,0.1,0.1,,,0.1,,0.1,
29.03.2022,0.1,0.1,0.1,0.6,0.2,,,0.1,0.6,0.4,,,,0.2,,,,,0.1,0.4,0.3,0.1,,
30.03.2022,,,0.2,0.3,0.1,0.3,0.6,,0.6,,,,,,0.1,0.1,0.2,0.1,0.1,0.1,,,,
31.03.2022,,,0.1,,,0.1,,,,,,,,,,,,,,,,0.1,,0.1
01.04.2022,0.3,0.1,0.2,0.1,0.3,0.8,0.2,0.1,1.1,0.8,1.2,0.8,0.3,0.4,0.3,0.2,,,0.1,,,,,
02.04.2022,,,,,,0.1,0.3,,0.1,,,,,0.1,,0.1,,,,,,,,
03.04.2022,0.1,0.1,0.2,0.1,0.1,1.1,1,0.6,0.9,0.2,0.8,0.4,0.1,,,,,,,,0.1,,,
04.04.2022,,0.1,0.4,0.5,,,,,0.2,0.4,0.1,0.1,,0.1,0.1,0.3,0.3,0.2,0.4,0.2,0.1,0.1,0.3,1.1
05.04.2022,1.9,2.3,1.5,0.2,0.5,0.6,0.4,0.1,0.3,0.4,0.6,0.6,0.3,0.1,0.4,0.3,0.5,0.3,0.6,0.6,0.6,0.7,1.3,0.9
06.04.2022,0.9,0.8,0.6,0.3,0.2,0.1,,,,,,,,,,,,0.1,0.1,0.1,0.4,0.6,0.4,0.8
07.04.2022,1.1,0.4,0.1,0.2,0.7,0.4,0.5,0.6,0.1,,,,,0.8,0.9,0.8,0.4,0.4,0.6,1.4,0.5,0.1,0.1,
08.04.2022,0.3,0.4,0.9,0.7,0.5,0.4,0.2,0.1,,0.2,,,,,0.1,,0.2,0.3,0.3,,,,,0.1
09.04.2022,,,0.1,0.1,0.3,0.2,,0.3,0.4,0.1,,,,0.1,,,,,,,,,,
10.04.2022,0.1,0.1,0.1,,,0.1,,,,,,,0.1,0.1,,,0.1,0.1,,,,,,
11.04.2022,,,0.3,0.3,0.3,,0.1,,0.4,0.3,0.1,,,,,,,,0.1,0.3,,,,
12.04.2022,0.3,0.2,,,,0.1,0.1,0.1,,,,,,0.1,0.1,,,,0.1,0.4,,0.1,0.5,0.3
13.04.2022,0.4,1.2,0.9,0.3,0.3,0.4,0.3,0.2,,,,,,,0.1,0.1,,,0.1,1.1,0.1,0.8,0.2,0.3
14.04.2022,0.2,0.1,0.1,,0.1,,0.3,0.5,0.2,0.1,,,,0.1,0.1,0.1,0.1,0.3,0.1,0.3,0.4,0.1,0.1,
15.04.2022,0.1,,,,,0.1,0.4,0.1,,0.1,,,,0.1,,,,,0.2,0.4,0.1,,0.1,0.1
16.04.2022,,,,0.1,0.1,0.1,0.1,0.1,,0.1,0.2,0.1,0.2,0.3,0.2,,,,,,,,,0.1
17.04.2022,0.6,,0.8,,,,0.1,0.4,,0.5,0.7,0.2,0.2,0.5,0.1,,,0.2,0.3,0.1,,,,
18.04.2022,,,,0.1,0.2,,,,,,,,0.3,0.3,0.1,0.1,0.2,0.1,,0.1,0.3,0.6,,0.2
