GFS 13 km,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01.08.2021, , , , , , , , , , , , , , , , , , , , , , , , 
02.08.2021, , , , , , , , , , , , , , , , , , , , , , , , 
03.08.2021, , , , , , , , , , , ,0.1, ,0.1, , ,0.1,0.1, , , , ,0.1, 
04.08.2021,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1, , , ,0.1, , , , , , , , , , 
05.08.2021, , , , , , , ,0.1,0.1,0.1,0.1, , , , , , , , , , , , , 
06.08.2021, , , , , , , , , , , , , , , , , , , , , , , , 
07.08.2021, , , , , , , , , , , , , ,0.1,0.1,0.1,0.1, , ,0.1, ,0.1,0.1,0.3
08.08.2021,0.1,0.2,0.4,0.4,0.6,0.8,0.4,0.4, , , , , , ,0.1,0.1,0.1, ,0.1,0.1, , ,0.1, 
09.08.2021, ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.3,0.5,0.6,0.6,0.8,0.9,0.8,0.7,1.1,1.4,1.6,1.1,0.8,1,0.7
10.08.2021,0.4,0.4,0.1,0.2,0.2,0.3,0.6,0.5,0.5,0.4,0.4,0.8,0.8,1.1,0.7,0.8,0.8,0.9,1.1,0.6,0.4,0.6,0.7,0.7
11.08.2021,0.5,0.6,0.5,0.5,0.6,0.6,0.8,0.8,0.9,0.7,0.7,0.4,0.1,0.1,0.3,0.4,0.5,0.5,0.8,0.7,0.9,0.7,0.3,0.2
12.08.2021,0.2,0.2,0.5,0.7,0.9,0.7,0.8,0.1, , , , , , , , , , , , ,0.1,0.1,0.1, 
13.08.2021,0.4,0.1, ,0.1,0.4, ,0.1,0.4,0.9,0.4,0.6,0.1,0.1, ,0.1, , , , ,0.1,0.9,0.6,0.7,0.7
14.08.2021,0.4,0.1,0.6,0.7,0.6,0.6,0.4,0.2,0.1,0.1,0.1, ,0.1, , , , , , , , , , , 
15.08.2021, , ,0.1, , , , , , , , , , , , , , , , , , , , , 
16.08.2021, , , , , ,0.1, , , , ,0.1,0.2,0.1,0.2, , ,0.1,0.1, ,0.3,0.4,0.1,0.3, 
17.08.2021,0.1,0.3,0.3,0.6,0.7,0.3,0.2,0.6,0.1,0.3,0.3,0.1,0.1,0.1, , ,0.5,0.9,0.9,0.5,0.1,0.2,0.2,0.2
18.08.2021,0.2,0.1, , , , , , , , , , , , , , , ,0.1,0.1,0.1,0.1,0.1,0.1,0.1
19.08.2021,0.1,0.1,0.1, , , , ,0.1, , , , ,0.1, ,0.1, ,0.1,0.2,0.2,0.3,0.4,0.6,0.5,0.4
20.08.2021,0.3,0.4,0.3,0.4,0.4,0.5,0.3,0.3, , , , ,0.1,0.1, ,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
21.08.2021,0.1,0.5,0.9,0.6,0.8,0.7,0.6, ,0.1,0.1,0.1,0.1, , ,0.1,0.2,0.4,0.1, , ,0.1, , , 
22.08.2021, , , ,0.1,0.1, , ,0.1, ,0.1,0.3,0.1,0.1,0.1, , , , ,0.1, , ,0.2,0.3, 
23.08.2021,0.1, ,1.1,1.3,0.8,0.4, , ,0.1, , , , , , , ,0.2,0.1, ,0.1, , , ,0.1
24.08.2021,0.4,0.4,0.1,0.1, , , , , , , , , , , , , , , , , , , , 
25.08.2021, , , , , , , , , , , , , , , , , , , , , , , , 
26.08.2021, , ,0.1, ,0.1,0.2, , ,0.1,0.1,0.3,0.3,0.1,0.1, ,0.1,0.1, ,0.1,0.1, , , , 
27.08.2021, ,0.1, , ,0.1,0.1,0.1,0.1, , , , , ,0.1, , , , , , , , , , 
28.08.2021, , ,0.1, , , ,0.6,0.6,0.3,0.4,1.4,1.5,1.8,1.8,0.9,0.2,0.3,0.6,1,0.6, , , , 
29.08.2021, , ,0.1, ,0.1, , , , , , , , , , , , ,0.1,0.2,0.2,0.2, , , 
30.08.2021, ,0.3,0.1,0.1, , , , , , , , , , , ,0.1, , , ,0.1,0.5,1,0.3, 
31.08.2021, , , , ,0.1,0.1,0.1, ,0.1,0.1, , ,0.1, , , , , , , , , , , 
01.09.2021,0.1, , , , , , , , , , , , , , , , ,0.1,0.1,0.1, , , , 
02.09.2021, , , , , , , , , , , , , , , , , , ,0.1, , ,0.1,0.3,0.3
03.09.2021, ,0.1,0.1,0.2,0.3, , , ,0.1, , , , , , , , , , , , , , , 
04.09.2021, ,0.1, , , , , , , , , , ,0.1, , , , , , , , , , , 
05.09.2021, , , , , , , , , , , , , , , , , , , , ,0.1,0.1, , 
06.09.2021, , , ,0.1,0.1, ,0.1, , ,0.3,0.3, ,0.1,0.2,0.4,0.2,0.1, , , , , , , 
07.09.2021, , , , , , , , , , , , ,0.1,0.1,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.2,0.1,0.1
08.09.2021,0.1,0.1, , , ,0.1, , , , , , , ,0.1, ,0.1,0.1,0.1,0.1,0.6,0.8,1,1.1,0.6
09.09.2021,0.4,0.1,0.1, , , , , , , , , , , , , , , , , , , , , 
10.09.2021, , , ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11.09.2021,-,-, , , , ,0.1, , , , , ,0.1,0.1,0.1, , ,0.1, ,0.1, , , ,0.1
12.09.2021,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1, ,0.1,0.1, , , , , , , , , , , , , 
