Date,LoggerID,TempInSitu,ECond.mS.cm,Salinity_psu
2022-04-04T13:40:00Z,335,30.38,59488.81126,35.4848696
2022-04-04T13:42:00Z,335,30.41,59525.91126,35.487955
2022-04-04T13:44:00Z,335,30.39,59525.91126,35.50254772
2022-04-04T13:46:00Z,335,30.41,59507.41126,35.47550707
2022-04-04T13:48:00Z,335,30.46,59507.41126,35.43908283
2022-04-04T13:50:00Z,335,30.36,59444.31126,35.46949762
2022-04-04T13:52:00Z,335,30.33,59466.51126,35.50635365
2022-04-04T13:54:00Z,335,30.35,59507.41126,35.51929988
2022-04-04T13:56:00Z,335,30.31,59496.21126,35.54099424
2022-04-04T13:58:00Z,335,30.34,59488.81126,35.5140745
2022-04-04T14:00:00Z,335,30.38,59496.21126,35.48985156
2022-04-04T14:02:00Z,335,30.4,59451.71126,35.44531759
2022-04-04T14:04:00Z,335,30.41,59522.21126,35.48546536
2022-04-04T14:06:00Z,335,30.5,59537.11126,35.42993525
2022-04-04T14:08:00Z,335,30.5,59507.41126,35.40998898
2022-04-04T14:10:00Z,335,30.51,59548.21126,35.43011745
2022-04-04T14:12:00Z,335,30.55,59544.51126,35.39856848
2022-04-04T14:14:00Z,335,30.45,59525.91126,35.45879999
2022-04-04T14:16:00Z,335,30.46,59559.41126,35.47403639
2022-04-04T14:18:00Z,335,30.45,59503.61126,35.44380799
2022-04-04T14:20:00Z,335,30.45,59496.21126,35.4388333
2022-04-04T14:22:00Z,335,30.43,59507.41126,35.46092978
2022-04-04T14:24:00Z,335,30.43,59507.41126,35.46092978
2022-04-04T14:26:00Z,335,30.4,59477.71126,35.46281284
2022-04-04T14:28:00Z,335,30.38,59507.41126,35.49739205
2022-04-04T14:30:00Z,335,30.39,59477.71126,35.47010359
2022-04-04T14:32:00Z,335,30.4,59451.71126,35.44531759
2022-04-04T14:34:00Z,335,30.41,59496.21126,35.46797138
2022-04-04T14:36:00Z,335,30.44,59411.01126,35.38883401
2022-04-04T14:38:00Z,335,30.45,59492.51126,35.436346
2022-04-04T14:40:00Z,335,30.45,59481.41126,35.42888426
2022-04-04T14:42:00Z,335,30.44,59492.51126,35.44362619
2022-04-04T14:44:00Z,335,30.45,59555.71126,35.47883578
2022-04-04T14:46:00Z,335,30.44,59481.41126,35.43616288
2022-04-04T14:48:00Z,335,30.41,59466.51126,35.44798963
2022-04-04T14:50:00Z,335,30.41,59451.71126,35.43803308
2022-04-04T14:52:00Z,335,30.41,59481.41126,35.45801391
2022-04-04T14:54:00Z,335,30.41,59451.71126,35.43803308
2022-04-04T14:56:00Z,335,30.38,59307.61126,35.36291495
2022-04-04T14:58:00Z,335,30.38,59451.71126,35.45989422
2022-04-04T15:00:00Z,335,30.35,59448.01126,35.47928596
2022-04-04T15:02:00Z,335,30.33,59374.01126,35.44402721
2022-04-04T15:04:00Z,335,30.34,59425.81126,35.47162922
2022-04-04T15:06:00Z,335,30.34,59396.21126,35.45168956
2022-04-04T15:08:00Z,335,30.34,59411.01126,35.46165916
2022-04-04T15:10:00Z,335,30.25,59182.71126,35.37338876
2022-04-04T15:12:00Z,335,30.29,59267.11126,35.40114955
2022-04-04T15:14:00Z,335,30.24,59281.81126,35.44753713
2022-04-04T15:16:00Z,335,30.14,59105.81126,35.40170228
2022-04-04T15:18:00Z,335,30.23,59303.91126,35.46975716
2022-04-04T15:20:00Z,335,30.12,59098.51126,35.41137625
2022-04-04T15:22:00Z,335,30.14,59215.71126,35.47599165
2022-04-04T15:24:00Z,335,30.16,59303.91126,35.52097449
2022-04-04T15:26:00Z,335,30.11,59204.71126,35.49051591
2022-04-04T15:28:00Z,335,29.95,58971.01126,35.44945243
2022-04-04T15:30:00Z,335,30.06,59315.01126,35.60187896
2022-04-04T15:32:00Z,335,29.79,58880.31126,35.50536026
2022-04-04T15:34:00Z,335,30,59245.01126,35.59856554
2022-04-04T15:36:00Z,335,29.98,59248.71126,35.61579741
2022-04-04T15:38:00Z,335,29.89,59058.41126,35.55285533
2022-04-04T15:40:00Z,335,29.69,58599.71126,35.38783046
2022-04-04T15:42:00Z,335,29.73,58696.41126,35.42430756
2022-04-04T15:44:00Z,335,29.85,59043.81126,35.572387
2022-04-04T15:46:00Z,335,29.82,58880.31126,35.48329364
2022-04-04T15:48:00Z,335,29.89,58949.21126,35.47868173
2022-04-04T15:50:00Z,335,29.79,58811.71126,35.4586877
2022-04-04T15:52:00Z,335,29.67,58671.31126,35.4513305
2022-04-04T15:54:00Z,335,29.73,58635.51126,35.38284421
2022-04-04T15:56:00Z,335,29.27,56995.91126,34.59885934
2022-04-04T15:58:00Z,335,29.96,59080.21126,35.51619033
2022-04-04T16:00:00Z,335,29.95,59109.51126,35.54341843
2022-04-04T16:02:00Z,335,29.87,58916.61126,35.47122632
2022-04-04T16:04:00Z,335,29.9,58931.11126,35.45905008
2022-04-04T16:06:00Z,335,29.8,58714.41126,35.3851722
2022-04-04T16:08:00Z,335,29.82,59000.11126,35.56477256
2022-04-04T16:10:00Z,335,29.65,57988.71126,35.00101151
2022-04-04T16:12:00Z,335,29.71,58624.71126,35.39017243
2022-04-04T16:14:00Z,335,29.86,59157.01126,35.64198388
2022-04-04T16:16:00Z,335,29.78,58894.81126,35.52258954
2022-04-04T16:18:00Z,335,29.68,58325.81126,35.20861376
2022-04-04T16:20:00Z,335,29.75,58714.41126,35.42186796
2022-04-04T16:22:00Z,335,29.79,59007.41126,35.5918605
2022-04-04T16:24:00Z,335,29.7,58902.11126,35.58656188
2022-04-04T16:26:00Z,335,29.69,58578.21126,35.37318338
2022-04-04T16:28:00Z,335,29.82,59007.41126,35.56973847
2022-04-04T16:30:00Z,335,29.64,58563.91126,35.40016962
2022-04-04T16:32:00Z,335,29.7,58761.21126,35.49051919
2022-04-04T16:34:00Z,335,29.74,58847.81126,35.52005297
2022-04-04T16:36:00Z,335,29.75,58981.91126,35.60402059
2022-04-04T16:38:00Z,335,29.6,58368.31126,35.29613891
2022-04-04T16:40:00Z,335,29.73,58865.91126,35.53975253
2022-04-04T16:42:00Z,335,29.73,58829.71126,35.51509183
2022-04-04T16:44:00Z,335,29.78,59058.41126,35.63396584
2022-04-04T16:46:00Z,335,29.7,58646.21126,35.41216264
2022-04-04T16:48:00Z,335,29.73,58739.61126,35.45372483
2022-04-04T16:50:00Z,335,29.63,58286.91126,35.21866952
2022-04-04T16:52:00Z,335,29.59,58474.81126,35.37614492
2022-04-04T16:54:00Z,335,29.67,58768.41126,35.51753655
2022-04-04T16:56:00Z,335,29.7,58844.21126,35.5470899
2022-04-04T16:58:00Z,335,29.65,58621.11126,35.43182078
2022-04-04T17:00:00Z,335,29.6,58322.21126,35.2646966
2022-04-04T17:02:00Z,335,29.64,58588.91126,35.41721866
2022-04-04T17:04:00Z,335,29.69,58956.51126,35.63104945
2022-04-04T17:06:00Z,335,29.63,58524.71126,35.380787
2022-04-04T17:08:00Z,335,28.97,55863.01126,34.03808663
2022-04-04T17:10:00Z,335,29.59,58510.41126,35.4004423
2022-04-04T17:12:00Z,335,29.65,58768.41126,35.53228987
2022-04-04T17:14:00Z,335,29.63,58517.51126,35.37587668
2022-04-04T17:16:00Z,335,29.57,58294.01126,35.26744539
2022-04-04T17:18:00Z,335,29.68,58869.51126,35.57910401
2022-04-04T17:20:00Z,335,29.68,58797.21126,35.52980028
2022-04-04T17:22:00Z,335,29.59,58804.41126,35.60120526
2022-04-04T17:24:00Z,335,29.64,58754.01126,35.52984442
2022-04-04T17:26:00Z,335,29.52,58269.31126,35.28725851
2022-04-04T17:28:00Z,335,29.56,58375.31126,35.33027322
2022-04-04T17:30:00Z,335,29.52,58294.01126,35.30413052
2022-04-04T17:32:00Z,335,29.06,55755.41126,33.90041016
2022-04-04T17:34:00Z,335,29.43,58093.51126,35.23314303
2022-04-04T17:36:00Z,335,29.57,58481.91126,35.39570148
2022-04-04T17:38:00Z,335,29.52,58322.21126,35.32339492
2022-04-04T17:40:00Z,335,29.52,58336.41126,35.33309608
2022-04-04T17:42:00Z,335,29.49,58283.41126,35.31892708
