Date,LoggerID,FullLoggerID,TempInSitu,ECond.mS.cm,Salinity_psu
2022-06-03T07:50:00Z,332,CT_332_VSled_20220604,25.94,60421.49296,39.68597047
2022-06-03T07:52:00Z,332,CT_332_VSled_20220604,25.94,60203.59296,39.52384073
2022-06-03T07:54:00Z,332,CT_332_VSled_20220604,25.96,59659.09296,39.10205955
2022-06-03T07:56:00Z,332,CT_332_VSled_20220604,25.86,58400.19296,38.25349097
2022-06-03T07:58:00Z,332,CT_332_VSled_20220604,25.95,60317.99296,39.6002588
2022-06-03T08:00:00Z,332,CT_332_VSled_20220604,26,61044.89296,40.09764082
2022-06-03T08:02:00Z,332,CT_332_VSled_20220604,25.99,61084.49296,40.13593892
2022-06-03T08:04:00Z,332,CT_332_VSled_20220604,25.89,58243.79296,38.11258992
2022-06-03T08:06:00Z,332,CT_332_VSled_20220604,25.9,58188.49296,38.06333537
2022-06-03T08:08:00Z,332,CT_332_VSled_20220604,25.94,59603.49296,39.07793209
2022-06-03T08:10:00Z,332,CT_332_VSled_20220604,26.03,60981.79296,40.02431545
2022-06-03T08:12:00Z,332,CT_332_VSled_20220604,26.06,61295.29296,40.23126991
2022-06-03T08:14:00Z,332,CT_332_VSled_20220604,25.99,59890.19296,39.24781207
2022-06-03T08:16:00Z,332,CT_332_VSled_20220604,26.03,61359.29296,40.30541199
2022-06-03T08:18:00Z,332,CT_332_VSled_20220604,26.01,60887.39296,39.97159621
2022-06-03T08:20:00Z,332,CT_332_VSled_20220604,25.95,58212.69296,38.03953363
2022-06-03T08:22:00Z,332,CT_332_VSled_20220604,26.13,61371.39296,40.22620701
2022-06-03T08:24:00Z,332,CT_332_VSled_20220604,26.05,60479.19296,39.63323572
2022-06-03T08:26:00Z,332,CT_332_VSled_20220604,26,60571.79296,39.74553549
2022-06-03T08:28:00Z,332,CT_332_VSled_20220604,26.01,60707.59296,39.83781493
2022-06-03T08:30:00Z,332,CT_332_VSled_20220604,26.05,60622.19296,39.73945337
2022-06-03T08:32:00Z,332,CT_332_VSled_20220604,26.06,60486.89296,39.63027293
2022-06-03T08:34:00Z,332,CT_332_VSled_20220604,26.05,61052.79296,40.05959515
2022-06-03T08:36:00Z,332,CT_332_VSled_20220604,26.01,59897.69296,39.2361801
2022-06-03T08:38:00Z,332,CT_332_VSled_20220604,25.94,47369.59296,30.17943089
2022-06-03T08:40:00Z,332,CT_332_VSled_20220604,25.89,45916.49296,29.17870712
2022-06-03T08:42:00Z,332,CT_332_VSled_20220604,25.89,42996.39296,27.11758015
2022-06-03T08:44:00Z,332,CT_332_VSled_20220604,25.94,45508.59296,28.85809618
2022-06-03T08:46:00Z,332,CT_332_VSled_20220604,25.83,46507.29296,29.63703305
2022-06-03T08:48:00Z,332,CT_332_VSled_20220604,25.94,48526.39296,31.00510703
2022-06-03T08:50:00Z,332,CT_332_VSled_20220604,25.95,50384.19296,32.33099512
2022-06-03T08:52:00Z,332,CT_332_VSled_20220604,25.98,52203.59296,33.62230348
